Song Name,Artist,Importance Score,Number of Cities where Song Broke Top Chart,List of Cities where Song Broke Top Chart,Broke US Top Chart,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
Scorpio,Moneybagg Yo,17.85,71,"Aberdeen-WA, Abilene, Akron, Albuquerque, Atlanta, Baltimore, Baton-Rouge, Birmingham, Brownsville, Charleston, Charlotte, Chico, Cincinnati, Cleveland, Columbia, Columbus, Concord-CA, Dallas, Detroit, Douglas-GA, Fairfield, Fayetteville-AR, Fort-Worth, Freeport-FL, Fremont-CA, Fresno, Grand-Rapids, Greensboro, Greenville, Houston, Indianapolis, Jackson, Jacksonville, Joliet, Kansas-City, Killeen, Knoxville, Laredo, Las-Vegas, Little-Rock, Louisville, Lubbock, Macon, McAllen, Memphis, Milford-DE, Mobile, Modesto, New-Orleans, Norfolk, Oakland, Oklahoma-City, Oneonta, Raleigh, Reno, Richmond, Sacramento, San-Antonio, San-Francisco, Shreveport, Stockton, Tampa, The-Woodlands-TX, Tulsa, Tyler, Virginia-Beach, Warren-OH, Washington-D.C., Wichita, Wilmington, Youngstown",False,,13.0,7.0,11.0,,20.0,,,,,11.0,,,,11.0,,15.0,,,,,9.0,,,,,,,,7.0,,,,,,14.0,10.0,,,8.0,16.0,,12.0,,8.0,12.0,6.0,,,,,9.0,,,,10.0,,9.0,,,,,,,,,17.0,,20.0,,10.0,13.0,9.0,19.0,,,8.0,,,12.0,12.0,,,,,,8.0,,17.0,7.0,10.0,12.0,,13.0,,,16.0,14.0,,11.0,13.0,,20.0,,8.0,17.0,8.0,,,,,8.0,10.0,,,15.0,,,,11.0,12.0,,,13.0,,,6.0,,,13.0,,18.0,,5.0,,,,,,,,,,,,,,,18.0,,,18.0,8.0,,,,,15.0,,,,,13.0,,11.0,,,,,,6.0,,,,,,,,17.0,,,,11.0,17.0,,,,,,14.0,,10.0,5.0,7.0,19.0,9.0,18.0,,,19.0,
Pressure,Ari Lennox,18.35,50,"Akron, Asheville, Atlanta, Baltimore, Baton-Rouge, Birmingham, Charleston, Charlotte, Chicago, Cincinnati, Cleveland, Columbia, Columbus, Dayton, Detroit, Douglas-GA, Elgin, Fort-Worth, Grand-Rapids, Greensboro, Greenville, Hammond-IN, Houston, Indianapolis, Jackson, Jacksonville, Kansas-City, Killeen, Little-Rock, Louisville, Macon, Memphis, Milford-DE, Mobile, New-Orleans, Norfolk, Philadelphia, Pine-Bluff, Raleigh, Richmond, Rome, Scranton, Shreveport, St.-Louis, The-Woodlands-TX, Tyler, Virginia-Beach, Warren-OH, Washington-D.C., Youngstown",False,,,,7.0,,,,,,13.0,6.0,,,,9.0,,9.0,,,,,3.0,,,,,,,,,,,,,,19.0,11.0,,14.0,,20.0,,9.0,,5.0,7.0,,,,,,,,18.0,,9.0,,3.0,,,,9.0,,,,,,,,,19.0,,,,,,10.0,,,15.0,7.0,8.0,,,,,16.0,,15.0,4.0,14.0,,,19.0,,,20.0,,,,,,15.0,,10.0,,3.0,,,,,,5.0,,,5.0,,,,8.0,,,,8.0,,,4.0,,,,,,,,,,10.0,,4.0,,,,,,,,,,10.0,,,,7.0,,,,3.0,,,,,,,,,,,,10.0,,18.0,,,,,,,11.0,,,,,,19.0,,,,,,,,15.0,4.0,5.0,17.0,,,,,8.0,
"R.A.P. Music"" Album Untitled""",Killer Mike,18.39,67,"Allentown, Anchorage, Asheville, Austin, Baltimore, Barnstable, Bellingham, Bend, Bismarck, Boston, Brentwood-NY, Brockton, Charleston, Chicago, Chico, Cincinnati, Cleveland, Colorado-Springs, Columbus, Dallas, Denver, Duluth, Eugene, Fairbanks, Fargo, Fayetteville-AR, Great-Falls, Green-Bay, Joliet, Kansas-City, Keene-NH, Little-Rock, Louisville, Madison, Marquette, Milwaukee, Minneapolis, Missoula, Nashville, New-Ulm-MN, Oakland, Omaha, Pittsburgh, Pittsfield, Portland, Providence, Raleigh, Rapid-City, Richmond, Rochester, Salinas, Salt-Lake-City, San-Diego, San-Francisco, San-Jose, Santa-Barbara, Sarasota, Seattle, Sioux-Falls, Spokane, St.-Louis, Tacoma, The-Woodlands-TX, Thousand-Oaks, Trenton, Washington-D.C., Worcester",False,,,,,,,15.0,,19.0,3.0,,,8.0,,19.0,14.0,,18.0,,3.0,,,18.0,,7.0,17.0,,9.0,,,,,,,,5.0,,,19.0,19.0,12.0,,13.0,12.0,,15.0,,,,,,17.0,,,5.0,,,,7.0,,,,,15.0,,15.0,,17.0,11.0,,,,,,,,,16.0,10.0,,,,,,,,,,,,,20.0,,15.0,3.0,,,,,,,,13.0,,17.0,,,4.0,,,9.0,,,,,,12.0,7.0,5.0,,,6.0,,,9.0,,,,,12.0,,,16.0,,,,,,,14.0,10.0,,,,11.0,17.0,,,16.0,19.0,,,13.0,,12.0,,,,,,12.0,20.0,,13.0,14.0,18.0,20.0,20.0,,14.0,,18.0,,15.0,,,,12.0,,,16.0,,,18.0,14.0,,,17.0,,,,,,,10.0,,,14.0,,,
a Lot,21 Savage,18.86,63,"Aberdeen-SD, Allentown, Asheville, Austin, Barnstable, Bellingham, Bend, Boston, Brentwood-NY, Bridgeport, Brockton, Charleston, Chicago, Cincinnati, Cleveland, Columbus, Concord-CA, Dallas, Denver, Dumas, Fargo, Fayetteville-AR, Hammond-IN, Indianapolis, Jackson, Joliet, Kansas-City, Kennewick, Knoxville, Little-Rock, Louisville, Madison, Manhattan, Mansfield-City, Milwaukee, Minneapolis, Missoula, Nashville, Norwich, Oakland, Pittsburgh, Pittsfield, Portland, Providence, Pueblo, Raleigh, Rapid-City, Richmond, Rome, Salinas, San-Diego, San-Francisco, San-Jose, Santa-Barbara, Sarasota, Seattle, St.-Louis, The-Woodlands-TX, Thousand-Oaks, Trenton, Tulsa, Washington-D.C., Worcester",False,6.0,,,,,,19.0,,,10.0,,,10.0,,,11.0,,14.0,,6.0,,,,,12.0,16.0,17.0,16.0,,,,,,,,9.0,,,15.0,,14.0,,18.0,,,18.0,18.0,,,,,19.0,,,12.0,,,,,19.0,,,,,,,,9.0,10.0,,,,,,,,,,,,,13.0,,,,,,,16.0,20.0,,13.0,,16.0,,19.0,,13.0,,,,,11.0,,12.0,,,6.0,17.0,11.0,,,,,,,16.0,13.0,14.0,,,9.0,,,,,,,20.0,15.0,,,,,,,,,,18.0,14.0,,,,13.0,19.0,,15.0,9.0,9.0,,,14.0,,,,14.0,,,,17.0,,,12.0,17.0,16.0,13.0,16.0,,13.0,,,,,,,,13.0,,,,,,20.0,20.0,,,16.0,,20.0,,,,,12.0,,,11.0,,,
Pepas,Farruko,19.0,48,"Abilene, Albuquerque, Allentown, Anaheim, Austin, Bakersfield, Brownsville, Cape-Coral, Chico, Crystal-Lake, Dallas, El-Paso, Evanston, Fort-Lauderdale, Fort-Worth, Freeport-FL, Fremont-CA, Fresno, Houston, Jacksonville, Laredo, Las-Vegas, Los-Angeles, Mansfield-City, McAllen, Mesa, Miami, Modesto, Norwich, Orlando, Oxnard, Phoenix, Port-Saint-Lucie, Reno, Riverside, Sacramento, San-Antonio, San-Diego, San-Francisco, San-Jose, Santa-Barbara, Sarasota, Tallahassee, Tampa, The-Woodlands-TX, Tucson, Twin-Falls, Yuma",False,,,19.0,,,18.0,20.0,13.0,,,,,15.0,9.0,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,15.0,,,,,,,,,,20.0,,20.0,,,,,,,,,18.0,,,,13.0,,,,,6.0,18.0,19.0,13.0,9.0,,,,,,,,,,,,,12.0,,,,17.0,,,,,,,,,15.0,15.0,,,15.0,,,,,,20.0,,5.0,,15.0,4.0,,,,,,6.0,,,,,,,,16.0,,,,,,9.0,17.0,,15.0,,,,,,3.0,,,,,,,,10.0,,6.0,,,,17.0,,,,,6.0,11.0,19.0,13.0,11.0,6.0,,,,,,,,,,,,,,8.0,10.0,10.0,,,,,9.0,,20.0,,,,,,,,,,14.0
