Pretoria,1619485,-25.7069444,28.2294444
Patna,1600085,25.6,85.116667
Bhopal,1600080,23.266667,77.4
Manaus,1598227,-3.113333,-60.025278
Xinyang,1590668,32.0958333,114.1202778
Kaduna,1582211,10.5230556,7.4402778
Damascus,1576843,33.5,36.3
Phnum Penh,1573523,11.55,104.9166667
Barcelona,1570378,41.383333,2.183333
Vienna,1569315,48.2,16.3666667
Esfahan,1547241,32.659722,51.671389
Ludhiana,1545476,30.9,75.85
Kobe,1528487,34.6833333,135.1666667
Bekasi,1520204,-6.2349,106.9896
Kaohsiung,1512832,22.6177778,120.3013889
Kaohsiung,1512832,22.6333333,120.35
Urumqi,1508225,43.8,87.5833333
Thana,1486453,19.2,72.966667
Recife,1478118,-8.05,-34.9
Kumasi,1468797,6.6833333,-1.6166667
Kyoto,1459647,35.0,135.75
Kuala Lumpur,1453978,3.1666667,101.7
Philadelphia,1453268,39.9522222,-75.1641667
Karaj,1448996,35.8355,51.0103
Perth,1446715,-31.933333,115.833333
Cordoba,1441007,-31.4,-64.1833333
Multan,1437644,30.195556,71.475278
Hanoi,1431377,21.0333333,105.85
Ha Noi,1431377,21.0333333,105.85
Agra,1430194,27.183333,78.016667
Phoenix,1428509,33.4483333,-112.0733333
Tabriz,1424701,38.0747,46.2472
Novosibirsk,1419016,55.0411111,82.9344444
Lanzhou,1417742,36.0563889,103.7922222
Bursa,1413485,40.191667,29.061111
Vadodara,1409565,22.3,73.2
Belem,1407737,-1.45,-48.483333
Juarez,1403025,31.733333,-106.483333
Fushun,1400646,41.7,123.8833333
Quito,1399814,-0.2166667,-78.5
Fukuoka,1392299,33.5833333,130.4
Puebla,1392137,19.05,-98.2
Antananarivo,1391506,-18.9166667,47.5166667
Luoyang,1390581,34.6836111,112.4536111
Hefei,1388904,31.8638889,117.2808333
Hyderabad,1386840,25.366667,68.366667
Valencia,1385202,10.1805556,-68.0038889
Gujranwala,1384869,32.15,74.183333
Barranquilla,1380437,10.9638889,-74.7963889
Tijuana,1376494,32.533333,-117.016667
Lubumbashi,1374808,-11.666667,27.466667
Porto Alegre,1372763,-30.033333,-51.2
Tangerang,1372185,-6.178056,106.63
Handan,1358318,36.5666667,114.5333333
Kampala,1353236,0.3155556,32.5655556
Suzhou,1343091,31.3113889,120.6180556
Khulna,1342429,22.8,89.55
Douala,1338144,4.0502778,9.7
Shantou,1333973,23.3666667,116.6666667
Makasar,1321832,-5.14,119.4221
Kawasaki,1306804,35.5205556,139.7172222
Montevideo,1305865,-34.8580556,-56.1708333
Yaounde,1299446,3.8666667,11.5166667
Bamako,1297390,12.65,-8.0
Semarang,1288221,-6.9932,110.4203
Yekaterinburg,1287586,56.85,60.6
San Diego,1287050,32.7152778,-117.1563889
Pimpri,1284702,18.616667,73.8
Nizhniy Novgorod,1284176,56.3333333,44.0
