Song Name,Artist,Rank in USTop20 Chart,New York City,Los Angeles,Chicago,Houston,Atlanta,Dallas,Miami,Phoenix,Riverside,"Washington, D.C.",Philadelphia,Boston,Anaheim,Denver,Las Vegas,San Diego,Detroit,Seattle,San Antonio,Orlando,Importance Score,Number of Cities Song Broke Top20,Broke USTop20 Charts
Shivers,Ed Sheeran,5.0,14.0,,20.0,,,20.0,5.0,8.0,,,19.0,6.0,19.0,5.0,5.0,15.0,6.0,6.0,15.0,4.0,13.6,16,True
Si Te Pudiera Mentir,Calibre 50,,,,,16.0,,,,,,,,,,,,,,,,,20.75,2,False
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",9.0,8.0,,12.0,9.0,9.0,12.0,14.0,17.0,,8.0,7.0,20.0,,,18.0,,16.0,19.0,14.0,14.0,15.1,16,True
Somethin About Ya (Acoustic),J.Howell,,,,,,,,,,,14.0,,,,,,,,,,,20.65,2,False
Stay,The Kid LAROI & Justin Bieber,,,,,,,,,,,,,,,14.0,,,,,19.0,,20.55,3,False
Super Gremlin,Kodak Black,4.0,,,4.0,3.0,2.0,4.0,8.0,20.0,,9.0,6.0,4.0,,9.0,,,3.0,5.0,6.0,3.0,10.6,15,True
The Cowboy In Me (Yellowstone Edition),Tim McGraw,1.0,,18.0,3.0,1.0,5.0,1.0,,2.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,5.05,19,True
"Volver, Volver",Vicente Fernández,,,20.0,,,,,,,,,,,,,,,,,,,20.95,2,False
We Set The Trends,Jim Jones & Migos,,9.0,,,,,,,,,,,,,,,,,,,,20.4,2,False
You Problem,MONSTA X,,,,1.0,,1.0,2.0,1.0,,,7.0,,,,,,,,,,5.0,15.55,7,False
You Right,Doja Cat & The Weeknd,,,,,,,,,,,,,,,,,19.0,,,,,20.9,2,False
Your Turn,"Ty Dolla $ign Feat. Musiq Soulchild, Tish Hyman & 6LACK",,,,,,13.0,,,,,12.0,,,,,,,,,,,20.15,3,False
abcdefu,GAYLE,8.0,15.0,17.0,9.0,,,17.0,,16.0,,18.0,3.0,14.0,9.0,7.0,,16.0,7.0,13.0,18.0,17.0,15.05,16,True
edamame,bbno$ Feat. Rich Brian,,,,,,,,,,,,,,,,19.0,,,,,,20.9,2,False
love nwantiti (North African Remix),CKay Feat. ElGrande Toto,,20.0,,,,,,18.0,,,,,,,,,,,,,,20.8,3,False
love nwantiti [Remix],CKay Feat. Axel & Dj Yo!,,1.0,,,,8.0,,12.0,13.0,,,8.0,,,,,,,,,9.0,17.25,7,False
