Song Name,Artist,City,Rank
Easy On Me,Adele,Dallas,15
Better Days,"NEIKED, Mae Muller & Polo G",Dallas,16
Shivers,Ed Sheeran,Dallas,17
Need To Know,Doja Cat,Dallas,18
For Tonight,GIVĒON,Dallas,19
abcdefu,GAYLE,Dallas,20
You Problem,MONSTA X,Miami,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Miami,2
Pepas,Farruko,Miami,3
Do It to It,Acraze Feat. Cherish,Miami,4
Shivers,Ed Sheeran,Miami,5
Easy On Me,Adele,Miami,6
Super Gremlin,Kodak Black,Miami,7
El Incomprendido,"Farruko, Victor Cardenas & Dj Adoni",Miami,8
Heat Waves,Glass Animals,Miami,9
Love Nwantiti (Ah Ah Ah),CKay,Miami,10
love nwantiti [Remix],CKay Feat. Axel & Dj Yo!,Miami,11
Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,Miami,12
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",Miami,13
Need To Know,Doja Cat,Miami,14
Better Days,"NEIKED, Mae Muller & Polo G",Miami,15
love nwantiti (North African Remix),CKay Feat. ElGrande Toto,Miami,16
For Tonight,GIVĒON,Miami,17
Big Energy,Latto,Miami,18
Bad Habits,Ed Sheeran,Miami,19
Outlawz,Rick Ross Feat. Jazmine Sullivan & 21 Savage,Miami,20
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Phoenix,1
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Phoenix,2
Pepas,Farruko,Phoenix,3
Pope Is A Rockstar,SALES,Phoenix,4
Big Energy,Latto,Phoenix,5
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,Phoenix,6
Oh My God,Adele,Phoenix,7
Better Days,"NEIKED, Mae Muller & Polo G",Phoenix,8
Shivers,Ed Sheeran,Phoenix,9
One Right Now,Post Malone & The Weeknd,Phoenix,10
Need To Know,Doja Cat,Phoenix,11
love nwantiti [Remix],CKay Feat. Axel & Dj Yo!,Phoenix,12
Heat Waves,Glass Animals,Phoenix,13
abcdefu,GAYLE,Phoenix,14
Happier Than Ever,Billie Eilish,Phoenix,15
INDUSTRY BABY,Lil Nas X & Jack Harlow,Phoenix,16
Super Gremlin,Kodak Black,Phoenix,17
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",Phoenix,18
Beggin,Måneskin,Phoenix,19
Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole",Phoenix,20
Big Energy,Latto,Riverside,1
Pope Is A Rockstar,SALES,Riverside,2
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Riverside,3
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Riverside,4
Pepas,Farruko,Riverside,5
Oh My God,Adele,Riverside,6
Big Subwoofer,"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",Riverside,7
Need To Know,Doja Cat,Riverside,8
Chosen,Blxst & Tyga Feat. Ty Dolla $ign,Riverside,9
Hurricane,Kanye West,Riverside,10
INDUSTRY BABY,Lil Nas X & Jack Harlow,Riverside,11
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,Riverside,12
Heat Waves,Glass Animals,Riverside,13
Love Nwantiti (Ah Ah Ah),CKay,Riverside,14
Poke It Out,Wale Feat. Cool & Dre & J. Cole,Riverside,15
Do It to It,Acraze Feat. Cherish,Riverside,16
One Right Now,Post Malone & The Weeknd,Riverside,17
Have Mercy,Chlöe,Riverside,18
Better Days,"NEIKED, Mae Muller & Polo G",Riverside,19
Happier Than Ever,Billie Eilish,Riverside,20
Outlawz,Rick Ross Feat. Jazmine Sullivan & 21 Savage,"Washington, D.C.",1
You Problem,MONSTA X,"Washington, D.C.",2
Cold Heart (PNAU Remix),Elton John & Dua Lipa,"Washington, D.C.",3
