Importance Score,Song Name,Artist,Number of Cities where Song Broke Top Chart,Broke US Top Chart,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
46.8,Ruthless,Dayymein,36.0,False,,,48.0,,18.0,,35.0,,,,,,,,24.0,,,,,,,41.0,,,21.0,26.0,4.0,24.0,,,,,,,,,41.0,,,,,,,,,30.0,,47.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,50.0,,31.0,,8.0,,,,,36.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,32.0,,,6.0,,,,,,,,29.0,,2.0,,46.0,,,41.0,,15.0,,,,,5.0,,,,14.0,,35.0,,42.0,,,,,,,,,,,44.0,,,,,,,16.0,,,5.0,,,,,,,41.0,,,,,,,,,,24.0,42.0,,,
46.99,The End Of The World,Skeeter Davis,45.0,False,,,32.0,,,,,25.0,37.0,32.0,,,19.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,47.0,,,,,,,,41.0,,,,,33.0,41.0,,,30.0,,,,,34.0,,,,23.0,30.0,,,,,,,,,,,,46.0,,,,,,49.0,,,,,48.0,,,,49.0,,29.0,30.0,,,,24.0,,,,,,,,,,,,,40.0,,,,,,,,21.0,20.0,,37.0,,,,31.0,,,,,,,,,28.0,,31.0,,43.0,,,,,31.0,,,,,,,15.0,40.0,23.0,23.0,25.0,16.0,,,,47.0,,41.0,,36.0,,,,,,,35.0,,,,,,33.0,,,,,,,,45.0,38.0,,,30.0,,
47.07,Whiskey And Rain,Michael Ray,40.0,False,40.0,,26.0,,,36.0,,,,,,,37.0,,,,,,41.0,,23.0,,49.0,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,21.0,,,,21.0,,,,36.0,,38.0,30.0,,,,29.0,,,,,,,,,,,30.0,41.0,,,,,,,,,25.0,50.0,,10.0,,,,,,26.0,,,,,,17.0,,21.0,,20.0,,,23.0,,,,,,,,,,,,43.0,29.0,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,23.0,,,,14.0,,,,,,,,45.0,,,39.0,,28.0,,,,,,,,21.0,,,47.0,,34.0,,,11.0,,,,40.0,,,47.0,,40.0
47.14,Dos Oruguitas,Sebastián Yatra,35.0,False,,,,,,,,,,,,,40.0,34.0,,,,,,,,,,39.0,,,,,,5.0,,45.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,33.0,39.0,,,,39.0,,,,,,45.0,,,,,,,,,,,,,,,,29.0,35.0,,,6.0,,,,,,47.0,,,,,,7.0,,,25.0,,,,,,,,,,40.0,,,,,,36.0,,,,33.0,41.0,,39.0,,,,,,45.0,,,9.0,,,,,,,24.0,,,,,,,9.0,36.0,20.0,30.0,,,17.0,,,,,,,,,,,,,,,,,39.0,,,,,41.0,,31.0,,,,,,,,10.0,,11.0
47.22,You Right,Doja Cat & The Weeknd,53.0,False,,,,43.0,,48.0,43.0,43.0,,,,,43.0,32.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,40.0,37.0,41.0,,44.0,,,,,50.0,,,,,,,33.0,,,,12.0,24.0,,,,,,31.0,,,,,,,,,27.0,,,50.0,43.0,40.0,,,,,,,,29.0,,39.0,,,29.0,40.0,,,,,,,,,,,,,28.0,,42.0,,,,,,,,,,49.0,,42.0,22.0,,,,,,,50.0,,31.0,,,39.0,,,,,,,,,42.0,,24.0,,36.0,,28.0,,34.0,25.0,,,,41.0,47.0,46.0,36.0,,,,,,,,33.0,,,,,30.0,27.0,34.0,,,47.0,,37.0,,40.0,32.0,,,,,,,36.0,,,,,49.0
47.31,banking on me,Gunna,42.0,False,,,8.0,,,,,,,,21.0,,,,37.0,,25.0,34.0,,,,7.0,,,,,,35.0,,,,,,,,,22.0,,,37.0,,19.0,47.0,,31.0,39.0,,,,,49.0,47.0,,44.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,41.0,,,27.0,,,,,,,,,,,,,,,,,31.0,,,,,,32.0,,,,,,,,,27.0,,,,,29.0,,,,,42.0,,,,27.0,,,1.0,,,,,,,,,,41.0,,31.0,,49.0,,48.0,45.0,,,,,36.0,,,,,,,,,40.0,,,,,,,,50.0,41.0,45.0,,47.0,,,,,42.0,,,,,,,,34.0,,32.0,,,,26.0
47.44,Wild Side,Normani Feat. Cardi B,53.0,False,,,18.0,,,45.0,,,,,44.0,,,,49.0,,,,,,,31.0,,,,49.0,,,,,,50.0,,,,,,,,,,37.0,37.0,,36.0,,,,,45.0,44.0,44.0,,46.0,,38.0,,,,,,47.0,,,,,,,,,37.0,,,,,17.0,47.0,,36.0,,,42.0,,,,,31.0,,,39.0,,,,50.0,,,27.0,39.0,,,31.0,,32.0,,50.0,,32.0,,,,,,28.0,,,,,,,43.0,,31.0,,22.0,,42.0,30.0,,,,,,,,,,,,9.0,,,,,,,,,,,,39.0,,46.0,50.0,,50.0,9.0,,,,,,45.0,,,,,45.0,,,23.0,,,,40.0,,,47.0,,,,35.0,43.0,24.0,,,,,48.0,,,24.0,45.0,,,,,,,,
47.62,Sand In My Boots,Morgan Wallen,40.0,False,,,,38.0,,,,,,,,,,,,,,,8.0,,,,17.0,,,,,,,,,,40.0,16.0,,,,,,,49.0,36.0,,,,,,,,34.0,,,23.0,,,,,,,19.0,,,40.0,,,,,19.0,50.0,,,45.0,,,11.0,,,,22.0,,,,40.0,,,,,,,,,,,,,47.0,,26.0,40.0,,,40.0,,,,45.0,,,27.0,,,,,38.0,,21.0,,,,25.0,,,,,,,,35.0,,,48.0,,50.0,,,,,,,,,32.0,,,,,,38.0,,41.0,37.0,,,,,,,,15.0,,,,,,,,,,,,,17.0,,50.0,,48.0,,,,,,,,,,,,,,40.0,,45.0,,48.0,,,,,,,
47.66,The World I Know,Collective Soul,37.0,False,,,,,49.0,,,,,,,,41.0,,,19.0,,14.0,,,44.0,,,,29.0,12.0,27.0,32.0,,,,,,,,,,,,15.0,,,,,,48.0,,30.0,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,14.0,,,24.0,,,,,,,,,,,,50.0,,,,,,,,,44.0,49.0,,,,,,,,,,,35.0,11.0,,,,,,,,,,41.0,6.0,,,,17.0,,,,,,33.0,,40.0,,,,,,,,32.0,47.0,,,48.0,,,50.0,,33.0,,,,48.0,,,,,,,22.0,,,,16.0,45.0,,46.0,,,,,,,,,,36.0,,,
47.83,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,36.0,False,45.0,,,45.0,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,41.0,25.0,,,,,,,,,,,,,,,,,,,20.0,,,,13.0,,24.0,,,,,,,,,22.0,,,,47.0,,,13.0,,,,,,,,31.0,,,,,31.0,,,,,,,,48.0,,46.0,32.0,,,24.0,,,,,,34.0,,,,,,,,,,40.0,28.0,,,,,,,,,18.0,39.0,,,,38.0,,,,,,,45.0,,,8.0,,,,,,,33.0,,,,,42.0,39.0,,,24.0,,,,,,,,,,,,,19.0,,30.0,48.0,42.0,,,,,48.0,,,,,,,,,,,,,,,45.0,,38.0,,,
