Song Name,Artist,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Woonsocket,Worcester,Yakima,Youngstown,Yuma
abcdefu,GAYLE,11,,18,11,2,8,4,18,3,7,33,,23,8,16,34,18,4,8,20,2,39,1,2,17,16,14,9,,24,,8,7,9,,21,32,34,10,,8,9,13,7,30,16,19,19,3,11,19,8,2,4,12,7,,,5,,12,3,30,14,,4,19,8,7,11,7,7,26,5,8,10,2,6,6,27,16,10,3,16,5,11,13,3,7,31,6,12,,9,10,6,9,6,3,13,8,8,11,22,8,7,,12,2,,6,22,17,13,23,34,18,5,5,23,7,18,7,15,,19,40,11,5,12,4,7,5,28,10,25,11,10,,10,27,5,,13,6,16,5,18,14,7,5,12,28,25,15,9,31,9,3,,,5,22,30,11,9,23,7,41,8,28,8,,5,5,5,28,8,19,17,4,16,12,20,11,10,4,9,8,5,,5,24,5,19,6,20,,4,19,3,5
One Right Now,Post Malone & The Weeknd,12,,2,15,23,6,43,13,36,,,,28,6,,12,,32,,28,6,37,15,10,10,,13,13,,23,,25,3,20,,,36,,34,17,15,45,33,13,34,44,14,30,37,21,,22,17,,16,18,,,4,,26,27,,17,,27,11,11,20,42,26,6,8,12,5,34,11,27,,,41,29,26,5,24,7,,24,,,14,,,10,31,15,23,24,19,11,3,19,,38,41,16,,,,25,28,32,31,3,41,11,33,18,,43,3,40,10,,,43,41,19,27,32,20,10,10,,23,23,,3,,16,6,26,,22,17,12,26,6,22,3,32,10,39,20,25,27,,5,33,,,19,21,22,14,12,,21,,14,32,27,,10,19,14,7,28,6,16,14,25,32,,20,25,1,45,5,26,9,20,35,,,7,43,,9,35,13,21
A Wolf At The Door,Radiohead,13,,,,,,,,40,6,,,31,,,44,,34,,9,,,,,,,30,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,8,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,
Coma,$uicideboy$,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole",15,,15,27,24,19,11,24,22,45,,,,42,29,,34,,35,30,3,,31,17,,,,,,,,24,,10,,23,,,19,,29,20,39,21,,,39,39,,10,35,43,7,28,21,38,8,,12,,30,17,13,13,,30,13,21,16,,40,28,37,36,30,8,15,,26,,26,24,14,24,11,25,,13,18,,19,16,,15,8,36,41,32,20,,40,28,,44,29,,,,10,32,20,,22,17,,30,26,31,23,32,21,,35,38,,,,39,20,35,9,29,23,,22,19,45,18,,37,32,2,,,21,,24,25,30,9,,18,,37,20,14,,21,4,,,30,,25,28,30,,27,,20,,3,,18,28,35,15,26,28,33,9,32,27,,29,38,45,23,15,14,19,21,,,24,4,25,,,8,,8
Kings & Queens,Ava Max,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stay,The Kid LAROI & Justin Bieber,17,,,18,,21,24,21,,,,,,32,42,21,28,,,16,27,,41,14,30,37,40,27,,34,,15,45,23,,,,,,,17,22,34,31,,31,34,42,27,22,41,41,27,23,20,31,,17,38,17,,44,20,44,,13,16,25,,31,34,39,24,21,35,,,,22,,,,10,41,43,41,39,19,,,31,41,,26,,11,25,,,20,21,10,27,,32,42,,,,,,41,,31,34,36,27,36,44,40,31,,42,,20,35,,,29,,24,23,13,,24,24,29,42,,25,24,,,28,22,,25,13,,5,,14,,29,21,34,,20,27,,,14,34,,32,25,,15,,17,,34,,21,,15,18,36,25,45,22,27,30,34,39,23,,26,29,27,4,23,,12,45,29,37,,21,,15,
Ghost,Justin Bieber,18,,,16,22,34,33,43,30,28,,,,26,,26,,10,15,,,,,9,20,17,41,21,,,,42,,11,,45,,,38,,25,29,30,19,,28,,35,,26,,,22,,23,32,12,,39,,28,,,45,4,36,,41,,41,,16,,32,,35,10,43,31,,,,19,18,20,14,,8,,,32,42,,23,25,17,,,27,,,6,,,39,,,,4,,,,35,29,43,32,29,22,9,34,30,,15,,21,40,,8,37,43,11,40,12,,26,,42,34,,32,34,4,,24,35,17,16,,,22,,29,,,38,42,28,29,38,,,24,,,21,31,,34,,15,,29,,7,20,13,16,38,23,14,24,28,42,,45,36,36,24,44,40,21,41,,,,23,32,,7,,17,24
Kiss Me More,Doja Cat Feat. SZA,19,,,,,,,,,,,,,,,,,,,,14,,,43,,,,,,44,,,23,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,29,,,,,,,21,34,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,18,,45,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need To Know,Doja Cat,20,,17,25,36,10,26,20,,30,,,38,9,40,32,31,25,,34,7,43,18,13,24,29,42,,,14,,33,14,15,,33,33,,43,7,20,21,25,20,,,26,13,8,14,18,26,31,13,30,22,,,41,,21,18,21,,26,15,10,,,39,16,8,21,6,12,36,25,22,36,,32,45,21,26,14,19,,15,14,,16,,,14,,9,11,26,16,25,27,14,,20,30,14,,,,,,9,27,14,33,22,43,32,,24,14,25,27,17,,14,42,18,21,19,26,31,18,,17,8,17,13,,14,25,,,19,26,26,37,38,40,31,27,9,42,17,14,10,,15,9,,,36,15,21,17,16,29,13,40,19,,25,30,14,37,9,39,31,17,20,11,24,13,,27,12,17,28,19,20,23,13,28,,35,8,12,,25,,14,
