Song Name,Artist,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
A Wolf At The Door,Radiohead,11,,,,,,,,,25,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,
Half On A Sack,Three 6 Mafia,12,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,21,,,,,13,,,,,,,22,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
Coma,$uicideboy$,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole",14,,25,20,26,19,14,21,,,,,,,27,,,,,19,3,,,17,,,,,,,,24,,15,,23,,,18,28,29,24,,18,,,,,,9,,,12,30,22,,8,,20,,,11,12,16,,,22,24,11,,,28,,,16,16,10,,29,,26,21,8,23,5,24,,17,16,,18,15,,17,,25,,30,21,,,,,,29,,,,12,,,,23,18,,25,23,,,,20,,29,,,,,,29,,13,,17,,23,16,,21,,,,4,,,20,,29,19,,7,,19,,,16,13,,22,4,,,25,,,30,30,,24,,19,,2,,18,28,,23,27,,,10,29,28,,,,,24,15,20,23,17,,,28,3,,,6,,13
Stay,The Kid LAROI & Justin Bieber,15,,,27,,18,24,20,,,,,,29,,15,,,,20,12,,,16,27,,,27,,,,22,,21,,,,,,,25,16,30,,,,,,,25,,,26,29,20,,,18,,1,,,23,29,,,27,25,,28,,,24,22,23,,,,,,,,19,,,,,22,,,30,,,23,26,11,29,,,21,23,6,,,,,,,,,,,,,,,,,27,30,22,,,,27,,,,30,,29,,13,,25,,30,,,20,,,,28,21,,23,13,,5,,13,,30,28,,,20,,,,18,,,28,21,,18,,18,,28,,15,,14,21,,23,,17,23,30,,29,26,,,,22,4,28,,,,24,,25,,14,
Kiss Me More,Doja Cat Feat. SZA,16,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happier Than Ever,Billie Eilish,17,,28,30,,20,27,23,,,,,,30,,,,,,13,,,26,20,,,,,,,,,,13,,29,,,,,,6,,,,,,,,15,,,9,,,,,,26,,,19,,,,,,,,,,21,,,5,,21,,21,,,28,,29,,,,18,21,,23,26,,22,,,26,18,,28,,22,,18,24,,,,22,,,,26,26,,30,,27,,,30,23,,,2,,,11,,,15,24,18,,,10,,18,,27,21,,,,,,13,,,18,,,,27,,14,,,,,,21,,,,,23,,,23,,21,,16,,7,20,,,,16,30,,,,,,,,18,25,29,,,,25,,,,,8
Fancy Like,Walker Hayes,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
Need To Know,Doja Cat,19,2,11,,,14,21,22,,29,,,,8,,,,27,,,13,,18,12,25,28,26,,,25,,,15,9,,,,,,23,26,17,25,28,,,14,14,8,18,19,30,,21,29,25,,,,22,28,20,,,27,22,15,,,,21,7,16,10,,,27,,,,,,20,30,9,22,,20,19,,14,,,15,,7,12,22,24,,30,17,,20,30,12,,,,,29,9,29,17,,17,,,30,26,13,30,28,20,,16,,,16,22,16,25,22,27,16,7,18,16,,17,,,,18,26,,,,,28,,10,,19,22,10,,17,16,,,,17,21,17,18,24,16,,15,,29,,14,,9,,29,17,24,13,,13,,28,15,17,29,20,19,,12,,,,8,16,29,,16,30
Bad Habits,Ed Sheeran,20,,,,,16,,,,,,,,,,16,,,,,,,27,22,,,,29,,,,19,16,,,,,,,,,,,29,,,,,,,,,17,,23,,,,,,30,,,,,6,,,30,,,,,,,,30,,28,,,,,21,26,,,14,,,,,,,,,,,,22,19,14,,,,,,,15,13,,,,25,26,,,,,,,,26,,,25,,,,28,9,,,,18,30,,27,,,22,18,,13,29,,26,,,,,,,,,,,28,,,,,,,,22,,,,,,,,11,,,25,,,,24,27,29,,,22,,,22,,,,,6,,,,15,23,,
GHOST TOWN,Benson Boone,21,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,25,,,,,,28,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,29,,,,,,,,,21,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,29,,,,,,,,,,
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,22,,,,,,29,,28,,,,,,,9,,,3,22,28,,16,,,,,,,,,,28,4,,,,,,,,,,,,,,,,,,,16,,,,,,,6,,,8,25,,,,14,,,,,,,,,28,8,13,,,,26,,,13,,11,,,,30,20,,,23,,,,,,,,,,,,22,3,,,,,,,13,,9,,,,,,,,,,21,,,,,9,,,,,,,,,,,,,,22,,,15,,,,,10,24,,,19,,,26,,,,,,,,,,10,,13,,22,,30,,30,30,,,,,,,,,,16,,,,,,,,,,
Only Love Can Hurt Like This,Paloma Faith,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Role Modelz,J. Cole,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey Ya!,OutKast,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Song For You,Donny Hathaway,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,26,,20,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,29,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,
Don't Let Me Down,The Chainsmokers Feat. Daya,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do It Again,Steely Dan,28,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,14,,,,,,,,,14,,,,,,,
151 Rum,JID,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falling,Trevor Daniel,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Lose Sight,Lawrence,,1,,,,,,,,16,13,,,,,,7,,,,,26,,,,,,,,,,,,,,18,,,,,24,26,,27,27,28,13,,,,,22,,,,,,,,,,,9,,,11,13,,27,,,,,,,,,,,25,,,,,,,,,,11,,,,,,,,,,,,,7,,,,,6,,,,,,,,,22,,,,,10,,,,,,,,26,,,,,,,15,,,25,,,,,,,,,22,,,,25,,,,,,,,20,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,14,,,,15,22,,23,,,,
THATS WHAT I WANT,Lil Nas X,,3,,23,16,,,,25,17,,,,,,30,,,,14,10,,10,13,,,,,,,,,18,,,,,,,,,,26,26,,,,29,,30,,,18,18,28,26,,,,,,28,,,,,,5,,,,23,,,19,5,22,24,15,,,,,,,21,,7,,,25,24,,,18,21,,19,25,,,4,,,,,,,,,,,,,,18,,18,,,,,,,3,,,,,,26,,19,,,,,,,21,,24,,,,25,19,16,,24,,,,,,11,,,,,,,,,,,,,,,,27,,,21,20,,,,,,,,,,,,,,,28,,,16,,30,,27,4,17,
