Song Name,Artist,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
Love Is Not Hard To Find (From The Amazon Original Movie Hotel Transylvania: Transformania),YEИDRY,,5,,,,,23,,,,,,,,,,,10,,,,,,,,,23,,,19,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,11,,,,,,29,,26,23,,,22,,,,,,,,,25,,,,,,,,,,,,,,,30,,,,,,21,,,,,28,,,,,,,21,,,,,,,,,,,,,,,,,,,,29,23,,,,,,,,,,,10,,21,,23,,,,,,,,,,14,28,16,27,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,14,,26,,,,,,25
Smells Like Teen Spirit,Nirvana,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werewolves Of London,Warren Zevon,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gimme All Your Lovin',ZZ Top,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes,David Bowie,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow In The Dark,Dio,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Of Night,Orville Peck,,11,15,,7,9,20,5,10,4,23,,3,11,16,17,12,3,,5,20,,,14,3,9,11,6,,6,,26,,,,2,,,6,5,15,,18,3,,4,6,16,,28,22,11,,8,3,23,,,15,,3,,5,1,,18,9,18,1,11,25,,14,24,,22,17,11,,27,30,29,,,14,,16,29,20,,,10,,21,,13,,11,5,26,17,,12,3,11,21,,4,,18,18,12,,11,15,,3,7,1,,,5,21,21,,10,,26,3,2,,9,16,,,5,6,12,,11,29,21,,,4,5,14,,9,,11,11,9,4,13,27,,19,,,3,2,4,4,4,9,5,20,,4,,11,,17,,,19,22,,28,11,19,26,12,7,12,22,5,12,21,,,7,18,5,11,,21,11,,5
Softcore,The Neighbourhood,,12,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,30,,,,,,,,,,7,,,,,,,,20,,,30,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Rain,Blind Melon,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivers,Ed Sheeran,,15,,5,20,8,11,13,13,,30,,24,,,5,,6,20,4,5,,9,3,13,,6,28,,,,8,1,,,25,30,,20,8,13,,8,9,19,17,11,21,,16,25,24,4,11,12,18,,,3,,19,25,15,15,5,3,5,2,,9,22,1,11,16,8,3,11,5,10,,21,23,9,9,4,5,21,3,4,,4,16,,11,4,4,15,6,13,,11,11,,,10,11,13,10,6,8,,,17,6,9,6,24,10,2,11,9,28,6,24,,19,,20,24,15,2,13,5,,2,20,20,4,,12,15,7,1,5,5,14,2,6,,11,21,7,21,28,23,17,14,10,5,,,7,24,17,8,4,,11,1,5,18,7,,2,26,8,3,23,7,7,3,16,11,11,24,7,27,10,8,24,3,21,16,7,29,17,7,16,13,9,24
I Hate U,SZA,,16,,17,14,28,8,24,,,9,,,,11,,30,,,,,19,,,,5,10,20,,,,,,,,14,12,,,,,,22,,9,,17,3,,,2,26,,,,22,,10,,,,,,,,,16,,,,14,,20,23,,,,,,21,9,,23,12,,17,,,,,,,,16,12,,,28,,19,13,16,27,28,28,19,6,,,,,,16,,,28,29,,,15,19,,13,12,,5,11,,,19,,30,,,,,5,25,,29,,,,30,,28,,20,24,,20,,10,23,15,,7,29,,,,,,,21,26,,21,,,8,,,,17,,27,18,21,15,,11,20,,,4,18,18,23,,,16,13,1,15,14,5,24,,29,
Face Off,"Tech N9ne, Joey Cool, King Iso & Dwayne Johnson",,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When I'm Gone,Alesso & Katy Perry,,18,13,,,22,17,19,20,23,4,,6,,,,2,18,,23,,5,11,7,26,23,,15,,,,7,,6,,6,28,,11,,8,10,21,2,10,7,12,,,27,24,7,22,12,6,,,,,,10,14,,9,,,,17,3,14,13,,27,26,22,19,15,,8,,11,12,,,,,22,28,17,4,7,3,22,10,,5,5,2,9,,24,,2,,18,10,22,3,5,,,,12,12,30,,13,13,26,7,,2,,13,,,,17,13,,11,5,6,4,17,29,,15,12,13,,3,12,,14,,3,2,6,20,17,22,13,,17,18,6,,13,,,11,12,10,12,12,13,8,,16,14,,,24,,23,,7,,,15,5,6,19,11,24,,15,16,6,,,17,3,12,18,,,,8,17
Fingers Crossed,Lauren Spencer-Smith,,19,22,,28,,6,9,18,,,,,,,,,,24,,,,14,,,18,22,,,,,,,20,,,,,,20,21,,,,,22,28,26,,8,,,,14,,,,,30,,,23,11,,,,19,15,,,,,,,10,,,9,,,,,12,15,,10,,,,,,20,,,,,,,,,,,,8,,,,15,,,,,,,,,,14,,,,,17,,,23,,,14,,,,20,,,13,,,,,,27,,,30,23,17,29,,,14,,,8,30,,,,22,,,12,,11,19,24,27,,,25,,,,,,,15,,,10,,,,,9,8,29,,,,,,,,,,22,,,,
"Pumped Up Kicks (from Peacemaker"")""",John Murphy Feat. Ralph Saenz,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troublemaker,Olly Murs Feat. Flo Rida,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lean On Me,Bill Withers,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stolen Dance,Milky Chance,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's Your Name,Lynyrd Skynyrd,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lights, Camera, Action!",Mr. Cheeks,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truckin',Grateful Dead,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Got My Mind Set On You,George Harrison,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need You Tonight,INXS,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain High,John Denver,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's Tricky,Run-DMC,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Gremlin,Kodak Black,,,2,7,13,13,5,,,12,2,,7,25,2,4,5,,,,30,2,,,9,8,15,8,,7,,4,,,,11,4,,7,,3,8,5,,2,5,24,5,,13,3,1,8,2,,4,,2,,,,4,18,,,,18,,13,5,1,4,,5,24,18,2,,,4,5,3,7,3,,28,2,21,6,3,9,8,,4,,,1,5,16,2,27,8,6,16,4,5,2,11,,4,,3,2,16,5,8,7,22,15,4,7,13,3,2,,6,7,,12,12,,7,12,,4,,8,14,,5,5,,,4,,10,,,7,,10,30,6,26,2,15,4,11,,,13,,2,29,,,,10,30,20,2,30,,28,9,13,7,4,11,2,28,2,4,4,,3,11,13,30,7,18,1,9,10,7,2,4,7,28,4,
One Right Now,Post Malone & The Weeknd,,,3,15,25,12,,14,,,,,,5,,7,,29,,,7,,5,11,10,,9,12,,23,,21,6,12,,,,,,14,14,,27,11,,,21,,,24,,25,19,,17,20,,,8,,,,,26,,,,11,19,,23,6,7,12,15,,12,30,,,,,,5,19,6,,25,,,16,,,12,,12,24,17,12,12,3,,,,,15,,,,25,4,,,3,,11,,17,,,5,,10,,,,,22,17,,10,12,10,,26,18,,3,,16,17,,,20,16,12,28,9,26,3,29,8,,20,29,26,,6,,,,14,27,18,15,14,,25,,13,,24,,9,16,30,8,24,6,19,14,17,,,22,21,1,,6,26,19,18,30,,,7,,10,,11,12
Black Ball,YoungBoy Never Broke Again & Birdman,,,6,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pushin P,Gunna & Future Feat. Young Thug,,,7,,,,,,,,11,,,,,,,,,,,30,,,,,,,,,,,,,,,20,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,28,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banking on me,Gunna,,,8,,,,,,,,21,,,,,,25,,,,,7,,,,,,,,,,,,,,,22,,,,,19,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,29,,,,,,,,,27,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Hrs and Hrs,Muni Long,,,9,4,9,30,3,,,,1,,21,24,1,24,1,,14,,,1,,,8,11,2,7,,,,12,,,,10,1,,1,18,2,1,1,17,1,1,5,13,,3,1,2,13,4,19,1,,1,,,,2,2,,,,4,,12,7,2,19,9,15,20,12,5,,9,1,1,1,4,4,13,,3,,1,1,3,1,,2,,,2,4,2,,4,,1,13,2,4,1,13,18,,,,1,19,7,14,1,12,,3,23,3,7,1,,8,1,,25,5,,1,11,,7,,1,19,11,4,9,,,2,,6,,,2,,1,,1,16,3,1,1,16,6,,,,11,19,22,,26,15,7,10,1,,3,,1,11,14,1,10,3,23,3,9,5,,9,10,4,27,3,,9,1,9,2,16,1,30,9,3,
All For Us (From The HBO Original Series Euphoria),Labrinth & Zendaya,,,10,,12,,,,23,15,24,,11,,,10,16,,,29,,,,,23,,,25,,,,,,,,,,,30,22,,13,,13,,15,,,,,,29,,27,18,,,,16,,18,,21,,,,,,10,,,,,,,,,13,27,17,,24,,,,,,,23,22,,,2,25,,,,,,,,,18,24,,,,9,,,24,,,,,,9,21,5,,,21,,,,,27,,15,21,,18,28,,,,22,29,,30,,29,,,22,24,,18,17,,,,17,29,24,,,,,,5,23,19,12,20,,30,,,21,,,,,,,,,,,27,28,,,,,,23,19,28,,,15,28,17,,15,22,,25,
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",,,12,8,27,11,,30,,22,16,,29,14,14,,8,,21,,,16,,,,24,,,,,,,,,,19,13,,23,17,12,,10,,7,16,,24,,26,13,23,27,15,,6,18,25,,,,15,,,,,,,,,16,18,21,27,,,23,28,11,,8,8,10,25,12,18,15,19,12,12,19,25,,18,8,,13,8,8,,16,18,8,19,19,8,20,,,3,11,,7,20,,5,16,25,,9,27,12,20,9,,28,4,,,,27,15,,1,22,12,19,20,23,19,16,,,25,27,,,,14,30,13,21,19,14,21,25,17,21,10,,,,25,,27,,,17,,,10,,,,8,26,,15,16,11,,20,22,15,,20,,25,17,17,,7,5,24,16,20,10,18,19,13,
When I R.I.P.,Labrinth,,,16,,11,,30,,22,13,,,18,,,,,8,,,,,,19,22,,30,,,,,,,,,,,,,1,,,,14,,27,,,,,,,,,11,,,,11,,,,3,3,,7,,12,15,,,,,,,10,29,,,,,,28,,,,,,,,,,1,,,30,,,7,,,,,,,,,8,,,,,,,,,18,19,11,,,,,,,,,,28,,,,,,,,,,,,,10,,,19,26,,11,,,,,27,,27,,,,7,,,,,28,,,,,,,,14,,,,,24,,,,,,,,20,,,27,14,,,,,19,,29,,23,12,,19
Don't Be Cruel,Billy Swan,,,17,,22,,,15,19,2,,,4,,,12,19,1,,10,,,,29,14,17,12,9,,,,,,,,9,,,16,2,,,,16,,20,22,,,,,21,,25,7,,,,21,,,,,5,,,,21,5,25,,,29,,,,,,,29,,,,,22,,,,,17,,,5,,,19,,,,,,,23,6,17,,,16,,,2,,,30,,,11,15,7,,,9,,29,,22,,,,7,,16,,,,19,17,,,26,20,,,,7,27,,,28,,,,12,,,,,,,,4,8,15,6,5,13,7,,,11,,,,,,,28,,,,,,,,3,,,,,25,,,,,13,,,,,,
Wild Side,Normani Feat. Cardi B,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,28,,,,,,,,,,,22,,,30,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,23,,,,,,,,,,,,,24,,,,,,,,24,,,,,,,,,
Oh My God,Adele,,,20,11,10,7,10,7,7,7,,,14,10,28,3,28,23,,3,11,25,3,4,5,,18,10,1,16,,20,8,1,,30,21,,9,3,6,5,7,6,14,10,19,22,1,4,21,15,5,6,8,12,,,7,,17,6,,11,,16,3,8,23,,24,14,15,13,6,9,8,3,5,,13,14,,6,18,9,,4,22,30,15,5,,5,2,3,8,15,20,24,10,2,,11,6,24,21,,7,23,,16,27,4,,10,12,6,10,12,14,25,5,23,,,15,15,8,16,7,17,3,,13,8,21,5,,10,4,9,3,17,6,9,12,10,19,2,28,14,7,13,9,5,,7,2,,16,16,18,15,13,7,10,29,,9,15,8,,3,5,2,4,11,9,8,6,,17,25,10,14,20,8,9,12,17,10,,,,23,9,2,,10,6
A Sky Full of Stars,Taron Egerton,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pussy Power,Gunna & Drake,,,23,,21,,,,,,22,8,16,,18,,24,,6,,,15,,,28,21,,,,,,,,,,,17,,22,,,,,,26,13,,25,,,,13,,28,,,,,,,23,,,,,17,,,,,19,,,,,,26,,16,20,,19,,,,,13,,24,,,28,,,,,28,,28,,,,,,26,20,,,,12,,,25,,,,,29,,,,15,,,,,28,,,,,,,,,,,,,,,,,,,29,,,16,,24,,22,,,,25,,,,26,,,,,,,,,29,,,,,,,,,,21,,13,,,,,14,,,,,,29,,27,,26,,,,18
Whiskey And Rain,Michael Ray,,,26,,,,,,,,,,,,,,,,,,23,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,,,,30,,,,29,,,,,,,,,,,30,,,,,,,,,,25,,,10,,,,,,26,,,,,,17,,21,,20,,,23,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,14,,,,,,,,,,,,,28,,,,,,,,21,,,,,,,,11,,,,,,,,,
Buy Dirt [Acoustic],Jordan Davis Feat. Luke Bryan,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,24,,,29,,,,,,,
TO THE MOON,Jnr Choi,,,29,,5,,9,,30,,17,,,,12,,,,,,,,,,16,10,8,19,,,,,,,,,14,22,14,,,,,23,17,,,10,,,18,20,,,,,,,,,,30,,,,,,,,22,,,,,,,,,14,9,23,11,,13,,,,,,,29,17,,,,,18,,,,,,16,25,,,24,14,,5,,,,,13,,25,,,,,,23,,,4,24,,26,,,,,,21,,23,,,,,,,,,22,,28,15,,,,,,18,16,,,,,,,,,,23,,,,,,,,,,,11,20,,9,,,27,,25,17,,17,,,,,21,,9,,,20,,,
Fish Scale,YoungBoy Never Broke Again,,,30,,,,,,,,,,,,,,10,,,,,4,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,27,9,,,,,,,,,,,,,28,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpio,Moneybagg Yo,,,,2,,29,18,27,,11,5,,17,,4,,11,,,,,3,,,,,,,,11,,,19,,,4,2,,8,,5,2,4,,3,11,23,,,12,6,4,28,7,25,2,,3,,,,8,17,,,,,,,24,3,26,,29,,7,7,29,12,2,3,5,,,28,,4,,3,7,13,14,,6,,,6,24,4,5,7,12,4,,1,2,3,,,16,,10,3,,27,4,10,30,,1,,6,,7,,,3,,,,,4,,,19,,10,,,14,,,,19,,,,,8,26,6,17,4,21,19,20,18,26,,,,,9,,,,,6,,,3,,8,,4,3,,13,29,20,,10,7,2,,,,12,18,9,,3,2,13,10,9,8,,,7,
Better Days,NEIKED & Mae Muller Feat. Polo G,,,,6,15,4,19,11,11,30,,,15,4,,23,,21,5,26,19,22,29,5,11,16,24,11,,14,,11,11,5,,,23,,4,9,16,29,9,10,29,14,10,18,,2,26,14,3,19,14,14,,,6,4,14,7,16,,,,6,20,18,17,18,10,4,3,3,11,9,27,7,,20,6,24,7,10,3,11,8,9,,10,4,,13,7,10,14,13,11,14,5,3,14,22,7,,,17,16,15,,21,30,7,16,3,17,11,14,19,4,22,8,26,,20,14,,19,9,6,20,7,,14,11,14,10,,9,,,,21,12,11,8,4,,6,27,3,29,18,7,4,,3,,,,4,13,9,7,10,,12,,7,19,4,,8,18,10,5,9,4,6,8,6,19,7,8,5,5,19,4,10,2,6,,2,,10,13,13,14,5,16
Pressure,Ari Lennox,,,,9,,,,,,,6,,,,10,,18,,,,,8,,,,,,,,,,,,,,12,7,,12,,,22,13,,4,21,,,,23,12,,,23,,7,,,,,,13,,,,,,,,,29,24,,,,,,,,19,16,7,15,,,,19,,15,2,20,22,,,,,,29,27,,,,19,,16,27,4,,,,,,5,,,19,27,,,6,,17,,6,,,5,,,,,,,,30,,9,,21,,,,,15,,,,,18,,26,,8,,,19,10,,,,,,,,,,,,,,4,,,,13,,,10,,,,9,,27,,,,16,,30,,15,4,,14,,12,,,,
Beautiful Lies,Yung Bleu & Kehlani,,,,12,,,,,,,27,,,28,19,,,,,,,24,,,,,,,,,,,,,,20,11,,,,22,27,16,,12,,18,,,,,,,,,8,,,,,,17,10,,,,,,,,,,12,18,,,,,,6,10,26,,,,,29,,,28,,,,28,,,20,21,18,,15,,,,21,,10,,,,,,18,,,,15,,,,12,,,,,,23,,,,,,,28,,,,,,,,,,,,,,,,,,16,,,,,29,15,,,,,,,,,,,,,,,,,,,,17,14,,,,,,,,25,,,,,,20,,,,28,,,,
