Song Name,Artist,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Woonsocket,Worcester,Yakima,Youngstown,Yuma
Big Energy,Latto,1,1,4,3,5,2,2,1,2,,8,,8,1,10,20,4,19,,8,11,8,,8,15,4,17,,7,3,,3,5,3,,5,8,,,10,4,4,4,,9,8,4,4,4,6,6,6,10,2,6,3,,5,9,,7,4,10,12,,9,2,,6,10,6,3,4,1,10,2,6,18,4,8,4,15,2,14,2,2,6,11,5,9,3,,,3,,8,3,3,,4,2,5,5,4,7,3,6,,5,,3,4,4,2,13,1,4,19,10,5,2,8,4,4,,6,2,13,,8,3,3,8,,9,2,3,2,6,3,,13,,4,13,8,3,1,10,6,2,2,2,1,3,4,17,2,17,,7,4,3,2,6,4,7,2,,13,6,9,,6,3,7,9,5,1,12,10,4,2,6,4,2,6,2,2,2,,1,3,4,10,5,3,,6,6,12,2
Heat Waves,Glass Animals,2,,3,10,,3,,6,6,,,,10,4,18,11,,,,,4,,7,7,13,,9,19,,7,,6,,7,,16,19,,12,5,10,15,20,3,,10,9,16,,13,8,9,8,15,15,9,,,,11,14,7,19,8,,2,14,14,14,7,5,5,9,7,3,9,3,,5,,,8,16,9,3,8,9,7,11,,13,13,,8,12,2,13,9,11,19,7,4,8,7,9,13,,,16,5,5,11,9,7,8,8,,,,18,12,19,14,16,16,18,,15,3,17,6,8,3,2,4,6,12,5,,5,4,7,3,5,8,15,9,4,18,4,18,6,,7,9,13,,8,14,,,10,11,8,9,10,13,9,,5,5,6,,3,14,4,11,14,7,9,2,20,8,8,16,,11,7,3,8,,6,,10,14,3,11,,14,5,,3
Cold Heart (PNAU Remix),Elton John & Dua Lipa,3,,1,1,1,1,1,2,1,13,11,,5,2,7,1,11,5,1,1,1,,4,1,1,1,1,1,,1,3,1,1,2,,12,9,19,2,16,1,3,2,1,7,1,2,1,9,1,4,4,1,1,1,4,16,12,2,,1,1,1,6,,1,1,4,4,1,4,2,1,2,1,1,1,2,1,12,2,2,1,1,1,1,1,1,2,,1,1,,1,1,1,4,1,1,1,1,1,3,5,3,1,13,6,1,2,,1,6,1,1,3,8,1,2,1,1,7,1,6,,2,6,12,1,4,1,2,1,,1,1,2,1,,1,1,1,4,1,1,1,1,8,3,1,3,1,11,2,1,2,,1,2,,3,1,1,4,2,1,4,1,5,1,9,1,,1,2,1,1,2,2,1,1,1,1,2,2,1,3,1,1,1,1,3,5,13,4,1,2,,1,1,1,1
I Should Live In Salt,The National,4,,,,,,,,,5,,,15,,,,,20,,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,13,,16,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right Down The Line,Gerry Rafferty,5,,8,,8,12,17,4,9,3,17,,2,,14,,5,1,,14,,,,,6,2,6,2,,5,,,,,,3,,,5,6,,,19,14,,5,3,7,,16,16,10,,,2,,,,17,1,5,,5,2,,,7,12,3,9,,14,2,15,,,,12,,17,,,,,,,17,,19,,,9,7,,,16,,,8,,17,,,2,,,,5,,,10,,,10,6,,2,4,4,,18,5,17,,,9,14,,14,2,,,,,,4,7,11,,18,20,15,,15,3,7,10,17,4,,,,6,5,8,,20,14,,,2,6,5,3,3,3,3,,,3,,,,16,,,14,15,,19,7,,,14,5,,7,5,4,17,,,,,3,,,,5,7,,
Do It Again,Steely Dan,6,,,,,,,,,10,,,,,,3,,,,17,,,,,,,,17,,,,17,,,,,,,,,,,,,,,16,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,9,,,,,,,,,,,,,,,,,,,,19,,,12,19,,12,19,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,17,,,
Beggin,Måneskin,7,9,,20,,,,14,,,,,,,,17,,,,3,19,,,,,,,12,,,,,6,,,,,,17,18,,,,,,,,12,,9,,,,,,,,,,,,,,,14,6,,,,,,13,,,,,,15,13,,,,13,,18,,,,,,,19,,,,10,,,,,,16,,,,,,,15,1,15,,,,,20,,,,,,,13,,,,,20,15,,,20,20,,11,18,,,,,,,,18,11,14,,9,,,,,,,,6,,,,,,,,,,,,,,,15,,,8,,16,13,,,,8,,,,,,,,,,12,,,,,20,,,3,,10,
Half On A Sack,Three 6 Mafia,8,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,18,,,,,,,17,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
'Til You Can't,Cody Johnson,9,,,,,,,,,,,,,,,,,17,,7,,,2,18,,,,,,,,,,8,,,,,,12,19,,,,,,,,,,,,12,,,,,,,,,,,,,,,5,,,,,,,20,7,,1,,,,,,,,,,20,,,,,,,,,,,,,,,,,,11,,,,,,,,,,13,,,,,,,,,2,,,,,,,,17,,,,,,,,,19,,,,,,,,10,,,,,,,,,16,,,,,,,,,,,,10,7,,,,11,,,,,,,,,,,,,,,7,,,,,,,,,,,
Bad Habits,Ed Sheeran,10,,,,,15,,,,,,,,,,19,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,20,,,,10,,,,,,,16,18,,,,,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,16,,,,,,,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,19,,,,,,,20,,,,,8,,,,,12,18,,
abcdefu,GAYLE,11,,18,11,2,8,4,18,3,7,,,,8,16,,18,4,8,20,2,,1,2,17,16,14,9,,,,8,7,9,,,,,10,,8,9,13,7,,16,19,19,3,11,19,8,2,4,12,7,,,5,,12,3,,14,,4,19,8,7,11,7,7,,5,8,10,2,6,6,,16,10,3,16,5,11,13,3,7,,6,12,,9,10,6,9,6,3,13,8,8,11,,8,7,,12,2,,6,,17,13,,,18,5,5,,7,18,7,15,,19,,11,5,12,4,7,5,,10,,11,10,,10,,5,,13,6,16,5,18,14,7,5,12,,,15,9,,9,3,,,5,,,11,9,,7,,8,,8,,5,5,5,,8,19,17,4,16,12,20,11,10,4,9,8,5,,5,,5,19,6,20,,4,19,3,5
One Right Now,Post Malone & The Weeknd,12,,2,15,,6,,13,,,,,,6,,12,,,,,6,,15,10,10,,13,13,,,,,3,20,,,,,,17,15,,,13,,,14,,,,,,17,,16,18,,,4,,,,,17,,,11,11,20,,,6,8,12,5,,11,,,,,,,5,,7,,,,,14,,,10,,15,,,19,11,3,19,,,,16,,,,,,,,3,,11,,18,,,3,,10,,,,,19,,,20,10,10,,,,,3,,16,6,,,,17,12,,6,,3,,10,,20,,,,5,,,,19,,,14,12,,,,14,,,,10,19,14,7,,6,16,14,,,,20,,1,,5,,9,20,,,,7,,,9,,13,
A Wolf At The Door,Radiohead,13,,,,,,,,,6,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coma,$uicideboy$,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole",15,,15,,,19,11,,,,,,,,,,,,,,3,,,17,,,,,,,,,,10,,,,,19,,,20,,,,,,,,10,,,7,,,,8,,12,,,17,13,13,,,13,,16,,,,,,,8,15,,,,,,14,,11,,,13,18,,19,16,,15,8,,,,20,,,,,,,,,,10,,20,,,17,,,,,,,,,,,,,,,20,,9,,,,,19,,18,,,,2,,,,,,,,9,,18,,,20,14,,,4,,,,,,,,,,,20,,3,,18,,,15,,,,9,,,,,,,,15,14,19,,,,,4,,,,8,,8
Kings & Queens,Ava Max,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stay,The Kid LAROI & Justin Bieber,17,,,18,,,,,,,,,,,,,,,,16,,,,14,,,,,,,,15,,,,,,,,,17,,,,,,,,,,,,,,20,,,17,,17,,,20,,,13,16,,,,,,,,,,,,,,,,10,,,,,19,,,,,,,,11,,,,20,,10,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,13,,,,,,,,,,,,,,,13,,5,,14,,,,,,20,,,,14,,,,,,15,,17,,,,,,15,18,,,,,,,,,,,,,,4,,,12,,,,,,,15,
Ghost,Justin Bieber,18,,,16,,,,,,,,,,,,,,10,15,,,,,9,20,17,,,,,,,,11,,,,,,,,,,19,,,,,,,,,,,,,12,,,,,,,,4,,,,,,,16,,,,,10,,,,,,19,18,20,14,,8,,,,,,,,17,,,,,,6,,,,,,,4,,,,,,,,,,9,,,,15,,,,,8,,,11,,12,,,,,,,,,4,,,,17,16,,,,,,,,,,,,,,,,,,,,,,,15,,,,7,20,13,16,,,14,,,,,,,,,,,,,,,,,,,7,,17,
Kiss Me More,Doja Cat Feat. SZA,19,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
