Song Name,Artist,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Woonsocket,Worcester,Yakima,Youngstown,Yuma
Need To Know,Doja Cat,20,,17,,,10,,20,,,,,,9,,,,,,,7,,18,13,,,,,,14,,,14,15,,,,,,7,20,,,20,,,,13,8,14,18,,,13,,,,,,,,18,,,,15,10,,,,16,8,,6,12,,,,,,,,,,14,19,,15,14,,16,,,14,,9,11,,16,,,14,,20,,14,,,,,,9,,14,,,,,,,14,,,17,,14,,18,,19,,,18,,17,8,17,13,,14,,,,19,,,,,,,,9,,17,14,10,,15,9,,,,15,,17,16,,13,,19,,,,14,,9,,,17,20,11,,13,,,12,17,,19,20,,13,,,,8,12,,,,14,
Super Gremlin,Kodak Black,,2,,8,16,17,6,,,,2,,7,,2,6,6,,,,,2,,,9,13,18,15,,6,,4,,,,11,3,,7,,2,13,5,,2,7,,5,,18,3,2,13,3,,5,,2,,,,5,3,,,,,,10,5,1,4,,4,,16,4,,,6,6,3,12,3,,,4,,10,2,11,6,,5,,,2,7,,2,,11,7,17,4,5,2,8,,3,,3,2,16,5,9,5,,17,4,5,12,3,2,,8,7,,6,20,,5,15,,6,,10,14,,4,2,,,3,,10,,,5,,16,,8,,2,12,10,17,,,18,,2,,,,,11,19,,2,11,,,9,,8,3,13,2,,2,3,5,,4,10,16,,7,17,2,7,,7,2,4,,13,,4,
Fingers Crossed,Lauren Spencer-Smith,,3,,,,,5,11,,,,,,,,,,,,,,,12,,,20,,,,,,,,17,,,,,,,16,,,,,19,,,,7,,,,18,,,,,,,,,11,,,,,,,,,,,,,,,19,,,,,7,13,,20,,,,,,,,,,,,,,,,,,11,,,,16,,,,,,,,,,12,,,,,16,,,,,,13,,,,,,,12,,,,,,,,,,,20,,,,14,,,10,,,,,,,,11,,13,,,,,,,,17,,,,,,,,11,,,,,13,9,,,,,,,,,,,,,,,,
Smells Like Teen Spirit,Nirvana,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werewolves Of London,Warren Zevon,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gimme All Your Lovin',ZZ Top,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow In The Dark,Dio,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Of Night,Orville Peck,,8,11,,7,13,,7,10,4,,,3,11,,16,15,3,,6,,,,15,3,10,11,7,,10,,,,,,1,,,6,11,18,,17,6,,4,7,20,,,,11,,12,4,,,,,,2,,4,1,,,8,18,1,13,,,14,,,,17,14,,,,,,,17,,,,20,,,11,,,,13,,14,5,,,,13,3,,,,4,,,14,14,,12,16,,3,7,1,,,6,,,,11,,,4,3,,13,19,,,5,6,15,,12,,,,,4,5,15,,12,,9,13,9,4,12,,,,,,6,2,4,5,4,11,5,,,7,,13,,17,,,,20,,,13,,,18,7,17,,4,12,,,,8,15,5,19,,,,14,,6
Softcore,The Neighbourhood,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,10,,,,,,,,,,10,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Rain,Blind Melon,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Hate U,SZA,,12,,,14,,8,,,,9,,,,12,,,,19,,,20,,,,3,16,20,,,,,,,,15,13,,,,,,,,12,,11,2,,,2,,,,,,,9,,,,,8,,,,,,,,11,,20,19,,,,,,13,11,,,11,,16,,,,,,,,17,,,,,,,13,,,,,,4,,,,,,15,,,17,,,,13,,,11,12,,4,16,,,13,,,,,,,4,,,,,,,,,,,14,,,7,,10,,,,6,,,,,,,,20,19,,,,,12,,,,,,,,20,6,,8,17,,,3,9,18,,,,19,14,7,13,,5,,,,,
When I'm Gone,Alesso & Katy Perry,,13,7,,,,16,19,12,12,3,,6,,,,2,,,,,10,11,6,,,,16,,,,7,,13,,6,,,11,,11,7,18,2,11,6,12,,,,,7,18,11,5,,,,,,13,13,,7,,,,15,2,14,13,,,,,,14,,7,,9,16,,,,,,,17,4,9,3,20,7,,5,6,2,7,,,,2,,17,10,17,3,9,,,,13,11,,,11,13,,7,,2,,14,,,,,11,,10,6,7,6,18,,,12,11,13,,3,,,15,,4,3,6,,17,19,15,,16,,4,,13,,,9,12,10,13,13,11,6,,16,14,,,,,,,4,,,17,6,7,19,9,,,17,13,4,,,13,2,11,15,,,,,8,15
Troublemaker,Olly Murs Feat. Flo Rida,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lean On Me,Bill Withers,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's Your Name,Lynyrd Skynyrd,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lights, Camera, Action!",Mr. Cheeks,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truckin',Grateful Dead,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Got My Mind Set On You,George Harrison,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need You Tonight,INXS,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hrs and Hrs,Muni Long,,,5,4,12,,3,,,,1,,,18,1,,1,,9,,,1,,,7,14,2,6,,,,13,,,,7,1,,1,14,3,1,1,12,1,2,6,18,,4,1,1,15,5,19,1,,1,,,,2,2,,,,4,,13,6,2,,12,13,,13,5,,,1,1,1,4,4,10,,2,,1,1,2,2,,2,,,1,4,2,,4,,1,13,1,4,1,15,20,,,,1,,7,16,1,14,,2,,1,5,1,,7,1,,,5,,1,11,,7,,1,17,3,6,,,,7,,6,,,1,,1,,1,15,5,1,1,16,6,,,,13,18,,,,17,6,9,1,,7,,1,12,10,1,12,3,20,3,10,4,,8,15,3,,3,,11,1,1,2,14,1,,,11,2,
banking on me,Gunna,,,6,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",,,9,7,,11,,,,20,14,,,13,13,,8,,,,,15,,,,,,,,,,,,,,20,10,,,,12,,10,,8,12,,,,,12,18,19,10,,6,17,,,,,19,,,,,,,,,15,,16,,,,19,,9,,7,6,6,17,13,17,14,,8,11,17,,,20,6,,12,8,6,,14,,6,,13,9,,,,11,,,7,,,7,15,,,9,,11,20,9,,,4,,,,19,14,,1,,16,15,19,17,19,19,,,,19,,,20,13,,8,,17,16,,16,8,,10,,,,,,,,,16,,,8,,,,6,,,13,15,15,,14,19,11,,18,,,,12,,7,6,19,16,13,9,,,15,11,
Black Ball,YoungBoy Never Broke Again & Birdman,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When I R.I.P.,Labrinth,,,13,,9,,,,16,16,,,18,,,,,9,,,,,,,,,,,,,,,,,,,,,,3,,,,16,,,,,,,,,,,14,,,,11,,,,6,4,,7,,16,11,,,,,,,14,,,,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,,7,,,,,,,,,20,20,16,,,,,,,,,,12,,,,,,,,,,,,,16,,,20,,,7,,,,,,,,,,,7,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,18,,13,,,,,,,,,,,
