OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods
11286,3030 20TH ST,Southern Exposure,20TH,SIDEWALK,1,2,,2010,0,37.75932,-122.411269,POINT (-122.411255 37.759315),53,3,2,20,169,,,53
14001,2838 Kirkham St,,Kirkham St,SIDEWALK,1,2,,2020,12,,,POINT (-122.49122 37.7592),39,10,7,35,148,,,39
10398,634 IRVING ST,Salon J,IRVING,SIDEWALK,1,2,,2004,0,37.764272,-122.46496,POINT (-122.46494 37.764267),109,10,11,14,151,,,109
11035,2095 HARRISON ST,Project Commotion,HARRISON,SIDEWALK,2,4,,2013,7,37.764805,-122.412693,POINT (-122.41268 37.7648),53,3,2,20,180,,,53
12368,1630 POLK ST,True Value Hardware,POLK,SIDEWALK,1,2,,2004,0,37.792026,-122.420667,POINT (-122.420654 37.792023),105,4,3,21,44,,,105
11466,2760 24TH ST,Dynamo Donut and Coffee,24TH,ROADWAY,5,10,,2014,12,37.753112,-122.40762,POINT (-122.40761 37.753105),53,3,2,20,164,,,53
10558,500 Capp Street,The David Ireland House,CAPP,SIDEWALK,3,6,,2017,2,37.758645,-122.418046,POINT (-122.41803 37.75864),53,3,2,20,177,,,53
11071,1501 GROVE ST,Pacific Primary School,GROVE,SIDEWALK,2,4,,2010,0,37.775278,-122.441593,POINT (-122.44158 37.775272),24,7,11,18,71,,,24
12402,2807 24TH ST,Madrigal Printing,24TH,SIDEWALK,1,2,,2004,0,37.752642,-122.408331,POINT (-122.40832 37.752636),53,3,2,20,164,,,53
11187,42 HOFF ST,16th & Hoff Garage,HOFF,GARAGE,3,6,,2013,9,37.764303,-122.420591,POINT (-122.42058 37.764297),53,3,2,20,89,,,53
9706,1625  Post Street,Kabuki Hotel,POST,SIDEWALK,1,2,,2017,1,37.785659,-122.428559,POINT (-122.42854 37.785656),101,4,11,15,4,11,,101
14383,4340 Judah,Java Beach,Judah,SIDEWALK,3,6,,2021,12,,,POINT (-122.508514 37.76031),39,10,7,35,147,,,39
10674,398 12TH ST,Eagle Tavern,12TH,SIDEWALK,1,2,,2002,0,37.769977,-122.413407,POINT (-122.41339 37.769974),32,1,10,20,180,,,32
13499,655 De Haro Street,The New School of San Francisco,De Haro Street,SIDEWALK,2,4,,2020,3,,,POINT (-122.40125 37.761574),54,2,9,26,34,,,54
12440,475 VALENCIA ST,San Francisco School of Massage,VALENCIA,SIDEWALK,1,2,,2015,1,37.76535,-122.42173,POINT (-122.421715 37.765347),53,3,2,20,89,,,53
9248,1415 LARKIN ST,Contraband Coffee Bar,LARKIN,SIDEWALK,1,2,,2010,12,37.790988,-122.419241,POINT (-122.41923 37.79098),105,4,3,21,44,,,105
12408,560 LARKIN ST,Saigon Sandwich,LARKIN,SIDEWALK,1,2,,2011,3,37.783165,-122.417211,POINT (-122.4172 37.78316),20,5,10,36,51,6,1,20
12793,4799 lincoln way,,lincoln way,SIDEWALK,1,2,,2019,12,37.76399457,-122.50930356,POINT (-122.50929 37.76399),39,10,7,35,147,,,39
11663,555 SAN JOSE AVE,St. Luke's,DUNCAN,SIDEWALK,1,2,,2004,0,37.746555,-122.421537,POINT (-122.421524 37.74655),83,9,2,2,188,,,83
12089,433 Turk Street,BAART Clinic,TURK,SIDEWALK,1,2,,2016,7,37.782449,-122.416216,POINT (-122.41621 37.782444),20,5,10,36,51,6,1,20
13870,1439 Egbert Ave,7Stills,Egbert Ave,SIDEWALK,2,4,,2020,10,,,POINT (-122.393196 37.723003),88,2,9,1,191,,,88
