geom,intersection_lat,intersection_lon,year,st_asgeojson,biccol,pedcol,bickill,pedkill,ambiccol,pmbiccol,ampedcol,pmpedcol,ambickill,pmbickill,ampedkill,pmpedkill,street_names,bicinj,pedinj,ambicinj,pmbicinj,ampedinj,pmpedinj
POINT(-122.396515236 37.7371561845),37.73715618,-122.3965152,2009,"{""type"":""Point"",""coordinates"":[-122.396515236,37.7371561845]}",0,1,0,1,0,0,1,0,0,0,1,0,"['PALOU AVE', 'QUINT ST', 'SILVER AVE']",0,0,0,0,0,0
POINT(-122.396515236 37.7371561845),37.73715618,-122.3965152,2016,"{""type"":""Point"",""coordinates"":[-122.396515236,37.7371561845]}",1,0,0,0,1,0,0,0,0,0,0,0,"['PALOU AVE', 'QUINT ST', 'SILVER AVE']",1,0,1,0,0,0
POINT(-122.396526826 37.7625796491),37.76257965,-122.3965268,2012,"{""type"":""Point"",""coordinates"":[-122.396526826,37.7625796491]}",1,0,0,0,0,1,0,0,0,0,0,0,"['18TH ST', 'MISSOURI ST']",1,0,0,1,0,0
POINT(-122.396530638 37.7783268314),37.77832683,-122.3965306,2007,"{""type"":""Point"",""coordinates"":[-122.396530638,37.7783268314]}",1,1,0,0,1,0,1,0,0,0,0,0,"['04TH ST', 'BRANNAN ST']",1,1,1,0,1,0
POINT(-122.396530638 37.7783268314),37.77832683,-122.3965306,2009,"{""type"":""Point"",""coordinates"":[-122.396530638,37.7783268314]}",1,2,0,0,0,1,1,1,0,0,0,0,"['04TH ST', 'BRANNAN ST']",1,2,0,1,1,1
POINT(-122.396530638 37.7783268314),37.77832683,-122.3965306,2012,"{""type"":""Point"",""coordinates"":[-122.396530638,37.7783268314]}",1,2,0,0,1,0,0,2,0,0,0,0,"['04TH ST', 'BRANNAN ST']",1,2,1,0,0,2
POINT(-122.396530638 37.7783268314),37.77832683,-122.3965306,2013,"{""type"":""Point"",""coordinates"":[-122.396530638,37.7783268314]}",0,1,0,0,0,0,0,1,0,0,0,0,"['04TH ST', 'BRANNAN ST']",0,1,0,0,0,1
POINT(-122.396530638 37.7783268314),37.77832683,-122.3965306,2014,"{""type"":""Point"",""coordinates"":[-122.396530638,37.7783268314]}",1,1,0,0,0,1,1,0,0,0,0,0,"['04TH ST', 'BRANNAN ST']",1,1,0,1,1,0
POINT(-122.396530638 37.7783268314),37.77832683,-122.3965306,2015,"{""type"":""Point"",""coordinates"":[-122.396530638,37.7783268314]}",1,0,0,0,0,1,0,0,0,0,0,0,"['04TH ST', 'BRANNAN ST']",1,0,0,1,0,0
POINT(-122.396530638 37.7783268314),37.77832683,-122.3965306,2016,"{""type"":""Point"",""coordinates"":[-122.396530638,37.7783268314]}",1,0,0,0,0,1,0,0,0,0,0,0,"['04TH ST', 'BRANNAN ST']",1,0,0,1,0,0
POINT(-122.396530638 37.7783268314),37.77832683,-122.3965306,2017,"{""type"":""Point"",""coordinates"":[-122.396530638,37.7783268314]}",1,0,0,0,1,0,0,0,0,0,0,0,"['04TH ST', 'BRANNAN ST']",1,0,1,0,0,0
POINT(-122.396555006 37.7183097704),37.71830977,-122.396555,2010,"{""type"":""Point"",""coordinates"":[-122.396555006,37.7183097704]}",0,1,0,0,0,0,0,1,0,0,0,0,"['JENNINGS ST', 'LE CONTE AVE']",0,1,0,0,0,1
POINT(-122.396570765 37.7889629644),37.78896296,-122.3965708,2007,"{""type"":""Point"",""coordinates"":[-122.396570765,37.7889629644]}",1,0,0,0,0,1,0,0,0,0,0,0,"['01ST ST', 'NATOMA ST']",1,0,0,1,0,0
POINT(-122.396570765 37.7889629644),37.78896296,-122.3965708,2017,"{""type"":""Point"",""coordinates"":[-122.396570765,37.7889629644]}",0,1,0,0,0,0,0,1,0,0,0,0,"['01ST ST', 'NATOMA ST']",0,1,0,0,0,1
POINT(-122.396585913 37.7945882166),37.79458822,-122.3965859,2010,"{""type"":""Point"",""coordinates"":[-122.396585913,37.7945882166]}",0,1,0,0,0,0,0,1,0,0,0,0,"['DRUMM ST', 'SACRAMENTO ST']",0,1,0,0,0,1
POINT(-122.396585913 37.7945882166),37.79458822,-122.3965859,2017,"{""type"":""Point"",""coordinates"":[-122.396585913,37.7945882166]}",1,0,0,0,1,0,0,0,0,0,0,0,"['DRUMM ST', 'SACRAMENTO ST']",1,0,1,0,0,0
POINT(-122.396617026 37.7202309128),37.72023091,-122.396617,2010,"{""type"":""Point"",""coordinates"":[-122.396617026,37.7202309128]}",0,2,0,0,0,0,0,2,0,0,0,0,"['03RD ST', 'HWY 101 S ON RAMP', 'JAMESTOWN AVE']",0,2,0,0,0,2
POINT(-122.396617026 37.7202309128),37.72023091,-122.396617,2015,"{""type"":""Point"",""coordinates"":[-122.396617026,37.7202309128]}",0,1,0,0,0,0,0,1,0,0,0,0,"['03RD ST', 'HWY 101 S ON RAMP', 'JAMESTOWN AVE']",0,1,0,0,0,1
POINT(-122.396617026 37.7202309128),37.72023091,-122.396617,2016,"{""type"":""Point"",""coordinates"":[-122.396617026,37.7202309128]}",1,0,0,0,1,0,0,0,0,0,0,0,"['03RD ST', 'HWY 101 S ON RAMP', 'JAMESTOWN AVE']",1,0,1,0,0,0
POINT(-122.396675358 37.7547065798),37.75470658,-122.3966754,2009,"{""type"":""Point"",""coordinates"":[-122.396675358,37.7547065798]}",0,1,0,0,0,0,0,1,0,0,0,0,"['23RD ST', 'DAKOTA ST']",0,1,0,0,0,1
POINT(-122.396689694 37.7904610684),37.79046107,-122.3966897,2006,"{""type"":""Point"",""coordinates"":[-122.396689694,37.7904610684]}",0,1,0,0,0,0,0,1,0,0,0,0,"['FREMONT ST', 'MISSION ST']",0,1,0,0,0,1
POINT(-122.396689694 37.7904610684),37.79046107,-122.3966897,2007,"{""type"":""Point"",""coordinates"":[-122.396689694,37.7904610684]}",0,2,0,0,0,0,1,1,0,0,0,0,"['FREMONT ST', 'MISSION ST']",0,2,0,0,1,1
POINT(-122.396689694 37.7904610684),37.79046107,-122.3966897,2008,"{""type"":""Point"",""coordinates"":[-122.396689694,37.7904610684]}",0,2,0,0,0,0,1,1,0,0,0,0,"['FREMONT ST', 'MISSION ST']",0,2,0,0,1,1
POINT(-122.396689694 37.7904610684),37.79046107,-122.3966897,2011,"{""type"":""Point"",""coordinates"":[-122.396689694,37.7904610684]}",1,0,1,0,1,0,0,0,1,0,0,0,"['FREMONT ST', 'MISSION ST']",0,0,0,0,0,0
