Importance Score,Song Name,Artist,Rank in Top US Chart,Number of Cities where Song Broke Top Chart,Broke US Top Chart,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
14.78,Ginseng Strip 2002,Yung Lean,11.0,105,True,12.0,,18.0,,,2.0,,,2.0,,,,10.0,3.0,,,,,,20.0,11.0,6.0,7.0,10.0,,,,,,4.0,,,,9.0,8.0,17.0,7.0,8.0,15.0,16.0,19.0,5.0,,8.0,,,,,,15.0,5.0,6.0,,,10.0,,1.0,11.0,,1.0,3.0,,7.0,,,4.0,,11.0,,,9.0,,,7.0,2.0,4.0,,,,,19.0,,,,2.0,,3.0,18.0,5.0,19.0,,,2.0,,,1.0,2.0,20.0,,2.0,6.0,,,9.0,,6.0,,18.0,13.0,10.0,14.0,3.0,,,,,20.0,19.0,12.0,,4.0,15.0,,,4.0,,,8.0,,,4.0,3.0,5.0,8.0,14.0,7.0,,4.0,,,,11.0,,,15.0,,10.0,1.0,,5.0,19.0,14.0,,4.0,,14.0,19.0,12.0,17.0,1.0,2.0,4.0,3.0,16.0,,17.0,16.0,,,4.0,,12.0,,,,,,,9.0,,15.0,,13.0,14.0,,,7.0,,5.0,8.0,4.0,7.0,17.0,,,3.0,12.0,,2.0,,10.0
14.89,Heat Waves,Glass Animals,10.0,128,True,,,6.0,,13.0,6.0,14.0,7.0,7.0,,,,,9.0,,13.0,,8.0,13.0,,9.0,,9.0,12.0,14.0,,13.0,,,20.0,,14.0,,8.0,,,,9.0,19.0,6.0,,12.0,,14.0,,10.0,,16.0,1.0,,13.0,12.0,7.0,16.0,15.0,17.0,,,19.0,,9.0,14.0,15.0,11.0,,,13.0,9.0,11.0,12.0,14.0,1.0,20.0,16.0,9.0,13.0,14.0,,,,,,11.0,,4.0,15.0,14.0,8.0,10.0,,6.0,,,14.0,,8.0,5.0,13.0,4.0,,4.0,6.0,,10.0,18.0,10.0,,,,15.0,,11.0,,10.0,13.0,15.0,,,6.0,13.0,11.0,,11.0,15.0,,17.0,,,3.0,,12.0,15.0,6.0,,6.0,15.0,17.0,9.0,,15.0,,4.0,,8.0,12.0,13.0,16.0,,,,11.0,17.0,,11.0,18.0,8.0,,16.0,,,,11.0,15.0,20.0,8.0,16.0,,20.0,4.0,9.0,10.0,2.0,10.0,6.0,18.0,15.0,18.0,,12.0,15.0,6.0,,17.0,17.0,,16.0,,13.0,7.0,6.0,2.0,8.0,,12.0,,9.0,17.0,18.0,7.0,,4.0
15.47,a Lot,21 Savage,14.0,116,True,8.0,11.0,,16.0,,,15.0,15.0,19.0,7.0,16.0,,7.0,,19.0,20.0,7.0,12.0,,11.0,,,13.0,,10.0,19.0,,10.0,,,,18.0,,,,6.0,11.0,,10.0,,9.0,,10.0,12.0,,13.0,8.0,,8.0,6.0,7.0,9.0,15.0,17.0,6.0,15.0,,,7.0,17.0,,17.0,,,,9.0,20.0,12.0,5.0,19.0,10.0,4.0,,,,11.0,16.0,14.0,15.0,19.0,,10.0,,,,,13.0,,8.0,10.0,20.0,6.0,,13.0,10.0,7.0,,8.0,11.0,,,,5.0,19.0,4.0,12.0,,7.0,4.0,3.0,,,9.0,,,,9.0,8.0,9.0,9.0,15.0,7.0,,11.0,,,,,,8.0,,9.0,14.0,,,13.0,16.0,20.0,,6.0,10.0,17.0,,,8.0,9.0,18.0,3.0,5.0,9.0,,,12.0,18.0,14.0,,6.0,,,,7.0,,16.0,9.0,12.0,14.0,13.0,13.0,,8.0,,,,,9.0,,,5.0,,,17.0,15.0,15.0,12.0,,,,18.0,,5.0,,14.0,13.0,,9.0,,,,11.0,18.0,
15.79,abcdefu,GAYLE,15.0,113,True,2.0,16.0,5.0,,,13.0,17.0,,5.0,,,,,16.0,,6.0,,10.0,,,5.0,,10.0,8.0,,,,18.0,,,,,19.0,13.0,,,,,,9.0,17.0,15.0,18.0,11.0,16.0,17.0,12.0,8.0,,9.0,,,9.0,,18.0,18.0,,,11.0,,12.0,19.0,10.0,12.0,13.0,6.0,18.0,,10.0,,20.0,,,17.0,5.0,14.0,18.0,18.0,3.0,,12.0,17.0,,19.0,,19.0,,7.0,12.0,,7.0,,,12.0,12.0,4.0,11.0,6.0,14.0,,16.0,14.0,,,,14.0,,,,,,,,8.0,20.0,14.0,19.0,15.0,10.0,,20.0,,20.0,16.0,8.0,,,5.0,,,3.0,,10.0,,11.0,,,10.0,,18.0,11.0,2.0,8.0,19.0,19.0,,5.0,2.0,,,10.0,5.0,,,,5.0,,9.0,1.0,,,8.0,20.0,,,9.0,,15.0,8.0,12.0,,3.0,,4.0,13.0,3.0,11.0,16.0,13.0,9.0,8.0,,,,,12.0,,,18.0,18.0,8.0,15.0,,7.0,,12.0,16.0,15.0,8.0,,
16.32,Fingers Crossed,Lauren Spencer-Smith,13.0,98,True,,,14.0,18.0,16.0,11.0,11.0,11.0,,15.0,,,,8.0,,,,,,,4.0,,3.0,,,8.0,14.0,19.0,,,,,,2.0,,,,,11.0,10.0,12.0,,,18.0,,19.0,,12.0,,4.0,,,2.0,8.0,,,,,12.0,,,5.0,,16.0,,,12.0,10.0,15.0,,,,15.0,,4.0,,,5.0,1.0,,,8.0,18.0,12.0,1.0,4.0,,3.0,,,,2.0,13.0,17.0,,17.0,,9.0,,,,3.0,12.0,15.0,19.0,16.0,,,,,,,,16.0,,12.0,16.0,7.0,,,,20.0,10.0,,,16.0,,,15.0,,2.0,17.0,,,20.0,,19.0,12.0,,,9.0,14.0,,,,12.0,3.0,14.0,,,,,,14.0,6.0,1.0,,,16.0,,,5.0,,,19.0,15.0,18.0,12.0,10.0,16.0,,,,18.0,3.0,4.0,12.0,14.0,,2.0,14.0,,18.0,15.0,15.0,11.0,,,11.0,17.0,3.0,,,18.0,,13.0,7.0,,16.0,7.0,20.0
16.39,I Look Good,O.T. Genasis,16.0,104,True,,,,7.0,15.0,,9.0,17.0,,,13.0,6.0,13.0,,14.0,,8.0,15.0,,,,,,19.0,11.0,20.0,,15.0,,,,,,,,13.0,13.0,,,8.0,2.0,11.0,7.0,7.0,19.0,14.0,5.0,,,,12.0,15.0,,5.0,7.0,16.0,9.0,,10.0,5.0,20.0,,,,,14.0,2.0,,19.0,,13.0,20.0,5.0,18.0,,,,,,13.0,,14.0,,,3.0,,,15.0,18.0,,17.0,,,9.0,,6.0,18.0,,8.0,,,,18.0,17.0,15.0,9.0,,8.0,19.0,,,,,13.0,,,10.0,10.0,,15.0,,6.0,,,,,7.0,,16.0,7.0,20.0,18.0,,,,19.0,14.0,16.0,,9.0,,,4.0,,16.0,15.0,13.0,7.0,9.0,,20.0,11.0,17.0,13.0,11.0,,11.0,13.0,,,5.0,,19.0,10.0,11.0,7.0,,10.0,,17.0,6.0,18.0,,14.0,,,,,6.0,19.0,13.0,10.0,11.0,20.0,20.0,,1.0,,,,,,9.0,,8.0,,,,6.0,,
16.99,Shivers,Ed Sheeran,18.0,90,True,11.0,,,,18.0,16.0,19.0,,9.0,19.0,,,,,,7.0,,18.0,,12.0,2.0,,20.0,11.0,,,16.0,,,,,4.0,1.0,10.0,,,,,,,16.0,,,13.0,,,,13.0,4.0,13.0,,,16.0,,20.0,,15.0,7.0,,,18.0,18.0,,14.0,15.0,,,5.0,,13.0,,,9.0,20.0,6.0,17.0,,20.0,,,,,3.0,17.0,15.0,5.0,,4.0,17.0,,13.0,16.0,,,,,,,,,14.0,5.0,,,,,17.0,,,,9.0,,,9.0,16.0,,,20.0,13.0,,18.0,,,,1.0,,,15.0,,,6.0,,,4.0,7.0,,,17.0,,,18.0,5.0,9.0,5.0,,17.0,4.0,,,12.0,9.0,15.0,,,,10.0,12.0,,20.0,,,9.0,,,15.0,12.0,,8.0,15.0,15.0,11.0,7.0,,10.0,10.0,,8.0,,,11.0,11.0,,14.0,,,,,,9.0,,5.0,,,,,16.0,,17.0,,,18.0
17.08,Better Days,NEIKED & Mae Muller Feat. Polo G,17.0,83,True,,3.0,15.0,,14.0,7.0,,19.0,,,,,,4.0,,4.0,,13.0,,,8.0,,,9.0,20.0,,20.0,,,,,,6.0,,,,,,14.0,13.0,,,,19.0,,,,,,,,,3.0,,,19.0,,,,,13.0,11.0,17.0,17.0,20.0,,,,,,,,7.0,4.0,7.0,18.0,,,13.0,,,18.0,,4.0,,8.0,,20.0,19.0,,,9.0,,,,15.0,,,12.0,,7.0,8.0,,,,,,,,9.0,4.0,,,14.0,,6.0,,,16.0,17.0,12.0,,14.0,,10.0,,,,14.0,,8.0,16.0,15.0,,17.0,16.0,,11.0,,,4.0,1.0,1.0,10.0,,18.0,9.0,,,6.0,,9.0,,,,6.0,,5.0,,,,10.0,,,13.0,8.0,,,,11.0,,,,7.0,14.0,16.0,15.0,,5.0,,9.0,,20.0,,,18.0,,19.0,6.0,19.0,9.0,,,,,,11.0,8.0,,13.0,
17.52,Oh My God,Adele,,85,False,3.0,,,,,10.0,,,12.0,,,,,11.0,,5.0,,,,18.0,7.0,,6.0,6.0,,,17.0,,,,,,,4.0,,,,,,,20.0,,20.0,,,15.0,,,,12.0,,,4.0,15.0,19.0,13.0,,,,,,20.0,,13.0,5.0,,,18.0,,,,2.0,,,3.0,,9.0,,17.0,,,,,15.0,,12.0,,5.0,14.0,,18.0,19.0,,11.0,13.0,10.0,13.0,10.0,,16.0,,4.0,,,,,,,,,,19.0,,15.0,,11.0,,18.0,11.0,,19.0,,15.0,,12.0,,,7.0,10.0,,10.0,20.0,7.0,,18.0,20.0,,13.0,,20.0,14.0,9.0,,,17.0,,15.0,,,,,,,,13.0,19.0,,14.0,7.0,,,,,,,19.0,,,11.0,18.0,,10.0,,11.0,15.0,13.0,9.0,20.0,,14.0,16.0,,,,,,,,13.0,9.0,18.0,,,9.0,,2.0,20.0,16.0,,11.0,15.0
17.54,Scorpio,Moneybagg Yo,,72,False,,20.0,3.0,19.0,,19.0,,,,,9.0,,,,5.0,,19.0,,,,20.0,3.0,,,,,,,,7.0,,,,,,16.0,12.0,,,7.0,18.0,,,,9.0,9.0,9.0,,,,,10.0,,19.0,,8.0,,4.0,,,,15.0,,,,,14.0,,17.0,,7.0,,8.0,14.0,,,8.0,,,,6.0,,,,,,8.0,,16.0,9.0,9.0,13.0,,8.0,,,10.0,18.0,,18.0,10.0,,9.0,,9.0,,7.0,,,,,9.0,8.0,,,4.0,,,,16.0,8.0,17.0,,14.0,,,4.0,,,10.0,,,,13.0,,,,,15.0,,,,,,,,,,18.0,,,12.0,9.0,,,20.0,2.0,15.0,,,,,11.0,,10.0,,,,,,4.0,,5.0,,,,,19.0,17.0,,,,16.0,16.0,,,,,,14.0,,4.0,5.0,5.0,,18.0,,,,,
18.01,Hiding In The Bushes,Ouija Macc & Starfoxlaflare,,49,False,,,,8.0,,,,,,,2.0,,,,6.0,,3.0,,,,,7.0,,,,,,,,,,,,,,18.0,5.0,,12.0,,,1.0,3.0,,6.0,,,,,,20.0,17.0,,4.0,,6.0,,,,,,,,,,,,,,,19.0,,,,,,,,,1.0,11.0,1.0,,,,,16.0,,4.0,2.0,10.0,,,,,,3.0,,,,,,2.0,,13.0,,6.0,,,,,,2.0,,,,12.0,,,18.0,,16.0,,13.0,,,3.0,,,14.0,,,,,,,15.0,,2.0,,,,,,,,,,12.0,,,,6.0,,,16.0,20.0,,,,,,,,,,,,,,1.0,,9.0,,,,,6.0,,,,6.0,,,,,11.0,,,,,,8.0,,11.0,,15.0,,,6.0,
18.21,Can I Kick It?,A Tribe Called Quest,,76,False,9.0,,,17.0,,,,14.0,18.0,17.0,,,12.0,,,19.0,,17.0,,14.0,,,17.0,13.0,15.0,,,6.0,,,,16.0,10.0,,,8.0,,,20.0,,14.0,18.0,17.0,,,18.0,18.0,,9.0,11.0,,18.0,,,12.0,,,,8.0,,,,,,,2.0,,,13.0,18.0,,19.0,,,,12.0,17.0,7.0,5.0,,20.0,15.0,,,,,,,,,,15.0,,15.0,11.0,,,,,,,,19.0,,,,,9.0,17.0,8.0,,,,,,,14.0,6.0,14.0,,,13.0,19.0,,,,,,,9.0,,19.0,,,,,,,,10.0,7.0,,,,11.0,19.0,,6.0,8.0,,,,16.0,,17.0,,,,18.0,,,,,14.0,16.0,,9.0,3.0,,14.0,,13.0,,,17.0,,,12.0,,,20.0,13.0,,19.0,12.0,,,16.0,,,,,18.0,,16.0,,,11.0,,,
18.3,Beggin',Måneskin,,75,False,7.0,,,11.0,19.0,15.0,18.0,12.0,13.0,11.0,,3.0,17.0,,,11.0,,7.0,,2.0,,,,18.0,13.0,17.0,,,,,,,,17.0,,,,,18.0,,,,,15.0,,,,20.0,3.0,16.0,,,20.0,,14.0,,,,,12.0,,8.0,5.0,9.0,,5.0,,,,,,17.0,,,,16.0,,,,,,,,18.0,,,,6.0,,,,18.0,,,9.0,20.0,,,,,,9.0,,,,,,14.0,,,19.0,,,18.0,,18.0,,,17.0,,,,18.0,,,,,,19.0,19.0,15.0,,11.0,,12.0,,,19.0,,14.0,,16.0,,20.0,9.0,14.0,,18.0,,8.0,18.0,19.0,,,,,,,9.0,,9.0,18.0,,15.0,,,,,,10.0,,,,13.0,11.0,,13.0,,,20.0,10.0,,,,14.0,9.0,,20.0,12.0,,,,,,19.0,20.0,,7.0,,,
18.32,Call Me Irresponsible,Bobby Darin,19.0,68,True,,,,,17.0,,,8.0,,14.0,20.0,,8.0,15.0,,,,14.0,,,,,,,8.0,11.0,,16.0,,,,,,,,14.0,20.0,,13.0,,,14.0,,16.0,,,13.0,,,,19.0,20.0,,,16.0,,,,13.0,,8.0,,,5.0,,,16.0,14.0,16.0,17.0,,,16.0,,,,,,,11.0,,,,,,,19.0,,,,,,8.0,,,,,,10.0,6.0,,,,8.0,,8.0,,11.0,,4.0,6.0,,,,11.0,,18.0,,7.0,,,12.0,,,,12.0,20.0,,,15.0,,,,,,9.0,20.0,,,,,,,,18.0,16.0,,,15.0,20.0,,13.0,14.0,8.0,,,,,,,8.0,,10.0,8.0,9.0,18.0,11.0,,,20.0,,,19.0,,,,,,,,19.0,3.0,,,8.0,,,,,,,,15.0,,10.0,,,19.0,12.0,,
18.54,I Hate U,SZA,20.0,61,True,,,,,12.0,,16.0,,,,14.0,,,,13.0,,18.0,,18.0,,,9.0,,,,13.0,9.0,,,,,,,,,19.0,,,,,,13.0,,,4.0,20.0,17.0,11.0,,,15.0,,,,,,,8.0,,,,,,,,,10.0,,,,,,13.0,13.0,,,,,,6.0,3.0,,6.0,,,17.0,,,,,,,,19.0,,,,14.0,,,13.0,11.0,14.0,,16.0,,5.0,,,,,,5.0,,,,,,,,10.0,,16.0,12.0,,5.0,9.0,,5.0,20.0,,,,3.0,,,11.0,,,,,,,,,,,,19.0,,15.0,,18.0,,,,13.0,,,,,,,,,,,,13.0,,16.0,,,,,,,17.0,10.0,17.0,,,19.0,,,8.0,12.0,14.0,,,,,19.0,17.0,20.0,17.0,9.0,,,14.0,14.0
18.57,Bring It On Home To Me,Sam Cooke,,74,False,,,,20.0,,,12.0,18.0,,9.0,18.0,4.0,9.0,,20.0,,12.0,,2.0,10.0,,,,,,12.0,,11.0,,,,10.0,,,,12.0,15.0,,16.0,,,,12.0,,,,16.0,,,20.0,17.0,14.0,,,13.0,,,,,14.0,,10.0,,,,13.0,17.0,,14.0,,18.0,8.0,19.0,,,,,,,15.0,14.0,12.0,,,20.0,,,,20.0,18.0,,14.0,,,,,17.0,19.0,,,,,16.0,,17.0,20.0,,12.0,,,,,,,,,17.0,13.0,20.0,10.0,,8.0,,19.0,,,,,12.0,16.0,,10.0,,,,14.0,18.0,,,16.0,,,,,13.0,,,,11.0,,,20.0,15.0,17.0,16.0,,,,,,,,18.0,13.0,,,19.0,17.0,,,,,,15.0,,,,9.0,,,,11.0,,11.0,13.0,19.0,,,,,,,,,13.0,,,14.0,,,
18.92,Pepas,Farruko,,45,False,,,20.0,,,20.0,,13.0,,,,,20.0,7.0,,,,,15.0,,,,,,,,,,,8.0,,3.0,,,,,,,,20.0,,,,,,,19.0,,,,,,,,,,,,,,11.0,,,,4.0,,,,,7.0,,,,12.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,14.0,20.0,16.0,,14.0,,,,,,,,5.0,,19.0,2.0,,,,,,5.0,,17.0,,,,,,9.0,,,,,,5.0,10.0,,14.0,,,,,,4.0,,,,,,,,16.0,,6.0,,,,17.0,,,,,7.0,17.0,,10.0,15.0,6.0,,,,,,,,,,,15.0,,,9.0,8.0,,,,5.0,,16.0,,16.0,11.0,,,,,,,,,5.0
18.93,Pressure,Ari Lennox,,40,False,,,,,,,,,,12.0,5.0,,,,15.0,,16.0,,,,,4.0,,,,,,,,,,,,,,,16.0,,17.0,,,,19.0,,3.0,12.0,,,,,,,,12.0,,10.0,,2.0,,,,12.0,,,,,,,,,,,,,,,10.0,,,17.0,8.0,13.0,15.0,,,,20.0,,,5.0,12.0,,,,,,,,,,,,15.0,,11.0,,3.0,,,,,,3.0,,,5.0,,,,7.0,,,,9.0,,,10.0,,,,,,,,,,13.0,,4.0,,,,,,,,,,16.0,,,,11.0,,,,1.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,18.0,,,,,12.0,
19.06,THATS WHAT I WANT,Lil Nas X,,49,False,5.0,,,14.0,,,13.0,,,,,,,,,,,,,8.0,18.0,,,20.0,,,,,,,,,14.0,14.0,,,,,,17.0,,,,,,,,,,10.0,,,,18.0,,20.0,,17.0,16.0,,,,12.0,,16.0,,,3.0,,,,,,,,5.0,20.0,,12.0,,,,14.0,,,20.0,,10.0,,,,20.0,,,5.0,,15.0,,19.0,,,18.0,,,,,,,,16.0,,,,,,,,14.0,,,,,,,,,,,,,11.0,,16.0,,,,,,,,,8.0,,,,,12.0,,,2.0,12.0,,,,20.0,,,,10.0,,,16.0,,,,,,,5.0,,,5.0,,,19.0,8.0,,,,13.0,,,,,,,,17.0,,,13.0,,,11.0,,,14.0,,,5.0,
19.16,One Right Now,Post Malone & The Weeknd,,50,False,,,13.0,,,18.0,,,17.0,,,,,17.0,,17.0,,,,,,,14.0,16.0,18.0,,10.0,,,,,,16.0,16.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,20.0,,,,17.0,8.0,,7.0,,,,,,,16.0,11.0,17.0,10.0,,,,,,,,,,,,,,,12.0,13.0,,,,,,,,17.0,,16.0,,6.0,,8.0,,,,,13.0,,12.0,,,,,10.0,,,,,19.0,,,12.0,,6.0,,,,,,17.0,,,,,,,,7.0,,,,13.0,,6.0,,,,17.0,,,20.0,,,,,,,20.0,,12.0,,20.0,20.0,,7.0,12.0,,,,,,,,,10.0,,20.0,,,,,15.0,,10.0,,,7.0
19.2,Peru,Fireboy DML & Ed Sheeran,,37,False,,,,,11.0,,20.0,,,,,,,,7.0,8.0,,,,,,,,,9.0,7.0,2.0,8.0,,,,,,,,,,,,,,,,,20.0,,,7.0,6.0,,14.0,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,10.0,,,17.0,3.0,,,,,,,15.0,,,,,,,,,,,,,,,,18.0,,,,,,,,12.0,,,,,,,,4.0,,,4.0,,,11.0,,,,,,15.0,,12.0,,,,15.0,,,9.0,,7.0,,,,,14.0,,,,,,,,,,,,,,,,,,9.0,,,,7.0,,,,7.0,,,18.0,,,,,,17.0,,7.0,,,,,,,15.0,,19.0,20.0,,,
19.5,Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,,44,False,,,7.0,,,8.0,,,,,,,,,,,17.0,,,,,14.0,,,,,19.0,,,9.0,,,,,,,,,,18.0,,,,,13.0,,,,,,,19.0,,14.0,,,16.0,14.0,,,15.0,,16.0,,,,,,,,16.0,,,15.0,,,,,20.0,,13.0,,,,,,6.0,,,,,,,,,,12.0,,,,,,,,,19.0,10.0,,,,,8.0,16.0,17.0,,16.0,,,,12.0,17.0,,,17.0,,,,,,,,14.0,,5.0,,,,18.0,,,,,,,,,,,,,,,,20.0,,,,18.0,,,,,12.0,,,,,,,,20.0,,,,,,,,,,,,,13.0,,,,,17.0,15.0,,6.0,20.0,6.0,,19.0,,,,,6.0
19.56,Beautiful Strangers,Kevin Morby,,40,False,,,,12.0,,,,,10.0,,,,18.0,,,18.0,,,,3.0,,,8.0,,,,,17.0,,,,15.0,,,,,,,,,11.0,,16.0,17.0,,,,,,19.0,,,,,17.0,,,,6.0,,,,18.0,,,12.0,,,,,,7.0,,,,,,,19.0,,,,,,,,,,,,,,4.0,18.0,8.0,,,,,,,,,,,17.0,,6.0,,,18.0,,,,,,15.0,12.0,,,,19.0,,,,,,,,,,,,,,18.0,,,,11.0,,,,,14.0,,,9.0,14.0,15.0,,,,,10.0,,,,,,,,,,,,14.0,19.0,,,,,,,,,,,,,,,,,19.0,,19.0,,,,,,,,,,,,10.0,19.0,
19.58,Vehicle,The Ides Of March,,45,False,18.0,,,,,,,16.0,,16.0,,,14.0,,,,,16.0,,15.0,,,,,19.0,10.0,,12.0,,,,11.0,,,10.0,,18.0,,,,,,15.0,,,,15.0,17.0,2.0,,,,,,,,,,18.0,,,,8.0,,,15.0,8.0,,,,,16.0,,,,,,,,,,,,,14.0,,,,,,,,18.0,,15.0,,,,,,,,,,,,,13.0,,19.0,,,,,,,,17.0,,,,18.0,,,,,,,,,,,,,,,,,,13.0,19.0,,17.0,,20.0,,,,17.0,,,,,,12.0,,,,,,,,,11.0,18.0,,,11.0,,19.0,,,,,,,,15.0,,,,19.0,,,9.0,15.0,,15.0,,,,13.0,,,14.0,,,,,,
19.63,Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole",,35,False,,,,,,,,,16.0,,,,,20.0,,12.0,,,12.0,,12.0,,18.0,14.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,17.0,,,13.0,,,,,,,,,,,,,,,,,,,9.0,,,,10.0,,,11.0,,,,8.0,,,,,9.0,,,,,,,,16.0,,,,,,15.0,,,,,,,,,,,,11.0,,9.0,,,15.0,,,,,,,,,18.0,,,14.0,,17.0,,,,,,,,,7.0,,,,,,19.0,,,,,,,,,,,,,,19.0,,,,,,,,,,16.0,4.0,20.0,,7.0,,,,,,,,,,,,,20.0,10.0,6.0,17.0,,,,,,,,,8.0
19.75,For Tonight,GIVĒON,,37,False,,19.0,12.0,,,,,,,,,,,,,,,,19.0,,,17.0,,,,,,,,,,,,18.0,,,,,,,,16.0,,,15.0,,,,13.0,,,,10.0,,,,,9.0,,,,,,,,,,17.0,,,,,,,,,,,,16.0,18.0,,7.0,,13.0,,,,,,19.0,,,,,,,11.0,,,17.0,10.0,,,20.0,,16.0,,,,,,,,,20.0,,,,8.0,16.0,,,20.0,,,,16.0,,,,,,6.0,,,,,,,,,,,,,,13.0,,18.0,,,,,19.0,9.0,,,15.0,,,,,,,,,,20.0,,14.0,,2.0,,,6.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,
20.06,'Til You Can't,Cody Johnson,,19,False,,15.0,,,,,,,,,,,,,,,,,5.0,17.0,3.0,,1.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,15.0,,,,,,,10.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,8.0,,17.0,,,,,,,,,2.0,,,,,,,,,,,,19.0,1.0,,,,,,,,,,,,,,,,,,,,19.0,,20.0,,,,,,,
20.07,Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",,26,False,,,8.0,,,,,,,20.0,,,,,,,14.0,,,,,12.0,,,,,,,,,,,,,,20.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,12.0,,,,17.0,,9.0,,,14.0,,,,7.0,,,,,,,,15.0,,,,,20.0,,,,14.0,,,,,,13.0,,,10.0,,,,14.0,,,,18.0,,,13.0,,,,,,,,,17.0,,,,,,13.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,20.0,
20.18,Big Subwoofer (Single Version),"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",,17,False,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,8.0,,,,,,,14.0,,,,10.0,,,10.0,,,,,,,,,,,,,,,,,,,,19.0,,,,,,14.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,4.0,,,15.0,,,,,20.0,,,,,,,,,,,,,8.0,,,,,,,,4.0,,,,,,,,,,,,,,9.0
20.27,Ghost,Justin Bieber,,22,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,,,,,,,,,,,,,,19.0,11.0,,,,18.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,16.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,12.0,,,,,20.0,,,,,,,,,12.0,,13.0,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,17.0,,17.0,,9.0,17.0,,,16.0,,,,,,,,,,,15.0,,,16.0,,,,,,,16.0
