Song Name,Artist,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
Shivers,Ed Sheeran,11,,,,18,16,19,,9,19,,,,,,7,,18,,12,2,,20,11,,,16,,,,,4,1,10,,,,,,,16,,,13,,,,13,4,13,,,16,,20,,15,7,,,18,18,,14,15,,,5,,13,,,9,20,6,17,,20,,,,,3,17,15,5,,4,17,,13,16,,,,,,,,,14,5,,,,,17,,,,9,,,9,16,,,20,13,,18,,,,1,,,15,,,6,,,4,7,,,17,,,18,5,9,5,,17,4,,,12,9,15,,,,10,12,,20,,,9,,,15,12,,8,15,15,11,7,,10,10,,8,,,11,11,,14,,,,,,9,,5,,,,,16,,17,,,18
Ginseng Strip 2002,Yung Lean,12,,18,,,2,,,2,,,,10,3,,,,,,20,11,6,7,10,,,,,,4,,,,9,8,17,7,8,15,16,19,5,,8,,,,,,15,5,6,,,10,,1,11,,1,3,,7,,,4,,11,,,9,,,7,2,4,,,,,19,,,,2,,3,18,5,19,,,2,,,1,2,20,,2,6,,,9,,6,,18,13,10,14,3,,,,,20,19,12,,4,15,,,4,,,8,,,4,3,5,8,14,7,,4,,,,11,,,15,,10,1,,5,19,14,,4,,14,19,12,17,1,2,4,3,16,,17,16,,,4,,12,,,,,,,9,,15,,13,14,,,7,,5,8,4,7,17,,,3,12,,2,,10
Be Alright,"Evan Craft, Danny Gokey & Redimi2",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilder Days,Morgan Wade,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Heart (PNAU Remix),Elton John & Dua Lipa,15,,16,10,4,3,6,6,6,18,,,11,6,17,2,9,5,16,4,1,18,4,2,6,3,1,3,,2,2,1,13,1,,,,,7,5,15,10,11,6,8,11,3,1,12,2,,11,1,7,8,7,14,,20,,4,1,4,10,,,6,13,8,1,8,5,2,2,20,2,5,2,2,,16,7,2,1,5,2,9,1,11,,2,5,,4,4,3,7,2,15,4,1,1,17,7,14,4,20,16,18,14,,2,19,2,1,1,11,16,18,11,2,,2,5,,3,,,4,12,1,11,4,11,1,4,9,2,,12,1,3,,1,7,3,1,10,,10,3,4,19,5,5,2,,2,14,,,3,5,12,4,2,12,2,2,6,7,11,12,1,4,2,1,18,3,1,2,5,1,4,6,1,,2,2,13,1,12,16,2,17,1,6,2,5,4,2
Do It to It,Acraze Feat. Cherish,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,15,,,,,14,,,,,,,,6,,,,,,,,,16,,,,,,,,,,,,,13,,11,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,10,,,,,,,15,,16,,,19,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,
Enemy (From the series Arcane League of Legends),"Imagine Dragons, Arcane & League of Legends",17,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,10,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,17,,17,,,,19,,,,,,,,,,
Vehicle,The Ides Of March,18,,,,,,,16,,16,,,14,,,,,16,,15,,,,,19,10,,12,,,,11,,,10,,18,,,,,,15,,,,15,17,2,,,,,,,,,,18,,,,8,,,15,8,,,,,16,,,,,,,,,,,,,14,,,,,,,,18,,15,,,,,,,,,,,,,13,,19,,,,,,,,17,,,,18,,,,,,,,,,,,,,,,,,13,19,,17,,20,,,,17,,,,,,12,,,,,,,,,11,18,,,11,,19,,,,,,,,15,,,,19,,,9,15,,15,,,,13,,,14,,,,,,
Wasted,Juice WRLD Feat. Lil Uzi Vert,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanctuary,Joji,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
