Song Name,Artist,Importance Score,Number of Cities where Song Broke Top Chart,List of Cities where Song Broke Top Chart,Broke US Top Chart,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
Oh My God,Adele,17.52,85,"Aberdeen-SD, Albuquerque, Anchorage, Bakersfield, Barnstable, Bend, Billings, Bismarck, Boise, Bridgeport, Cedar-Rapids, Cincinnati, Cleveland, Columbus, Crystal-Lake, Davenport, Dayton, Denver, Detroit, Elgin, Eugene, Evanston, Fargo, Freeport-FL, Grand-Island, Grand-Rapids, Green-Bay, Hartford, Honolulu, Idaho-Falls, Indianapolis, Jacksonville, Joliet, Kansas-City, Keene-NH, Kennewick, Killeen, Knoxville, Laredo, Lewiston, McAllen, Mesa, Milford-DE, Minneapolis, Missoula, Modesto, New-Haven, New-Ulm-MN, North-Platte, Norwich, Ogden, Oklahoma-City, Omaha, Orlando, Oxnard, Phoenix, Pittsburgh, Pittsfield, Pocatello, Portland, Provo, Rochester, Rockford, Sacramento, Saint-Cloud, San-Jose, Scranton, Seattle, Sioux-Falls, Spokane, Springfield-IL, Springfield-MA, Springfield-MO, St.-Louis, Syracuse, Tacoma, Tucson, Tulsa, Twin-Falls, Warren-OH, Wichita, Wilmington, Worcester, Youngstown, Yuma",False,3.0,,,,,10.0,,,12.0,,,,,11.0,,5.0,,,,18.0,7.0,,6.0,6.0,,,17.0,,,,,,,4.0,,,,,,,20.0,,20.0,,,15.0,,,,12.0,,,4.0,15.0,19.0,13.0,,,,,,20.0,,13.0,5.0,,,18.0,,,,2.0,,,3.0,,9.0,,17.0,,,,,15.0,,12.0,,5.0,14.0,,18.0,19.0,,11.0,13.0,10.0,13.0,10.0,,16.0,,4.0,,,,,,,,,,19.0,,15.0,,11.0,,18.0,11.0,,19.0,,15.0,,12.0,,,7.0,10.0,,10.0,20.0,7.0,,18.0,20.0,,13.0,,20.0,14.0,9.0,,,17.0,,15.0,,,,,,,,13.0,19.0,,14.0,7.0,,,,,,,19.0,,,11.0,18.0,,10.0,,11.0,15.0,13.0,9.0,20.0,,14.0,16.0,,,,,,,,13.0,9.0,18.0,,,9.0,,2.0,20.0,16.0,,11.0,15.0
Scorpio,Moneybagg Yo,17.54,72,"Aberdeen-WA, Abilene, Akron, Albuquerque, Atlanta, Baltimore, Baton-Rouge, Billings, Birmingham, Brownsville, Charleston, Charlotte, Chico, Cincinnati, Columbia, Columbus, Concord-CA, Dallas, Dayton, Detroit, Douglas-GA, Elgin, Fairfield, Fayetteville-AR, Fort-Worth, Fremont-CA, Fresno, Grand-Rapids, Greenville, Houston, Indianapolis, Jackson, Jacksonville, Joliet, Kansas-City, Killeen, Knoxville, Laredo, Las-Vegas, Little-Rock, Louisville, Macon, McAllen, Memphis, Milford-DE, Mobile, Modesto, Nashville, New-Orleans, Norfolk, Oakland, Oneonta, Pine-Bluff, Raleigh, Reno, Richmond, Rockford, Rome, Sacramento, San-Antonio, San-Francisco, Shreveport, South-Boston, St.-Louis, Stockton, Tampa, The-Woodlands-TX, Tulsa, Tyler, Virginia-Beach, Warren-OH, Wichita",False,,20.0,3.0,19.0,,19.0,,,,,9.0,,,,5.0,,19.0,,,,20.0,3.0,,,,,,,,7.0,,,,,,16.0,12.0,,,7.0,18.0,,,,9.0,9.0,9.0,,,,,10.0,,19.0,,8.0,,4.0,,,,15.0,,,,,14.0,,17.0,,7.0,,8.0,14.0,,,8.0,,,,6.0,,,,,,8.0,,16.0,9.0,9.0,13.0,,8.0,,,10.0,18.0,,18.0,10.0,,9.0,,9.0,,7.0,,,,,9.0,8.0,,,4.0,,,,16.0,8.0,17.0,,14.0,,,4.0,,,10.0,,,,13.0,,,,,15.0,,,,,,,,,,18.0,,,12.0,9.0,,,20.0,2.0,15.0,,,,,11.0,,10.0,,,,,,4.0,,5.0,,,,,19.0,17.0,,,,16.0,16.0,,,,,,14.0,,4.0,5.0,5.0,,18.0,,,,,
Hiding In The Bushes,Ouija Macc & Starfoxlaflare,18.01,49,"Akron, Atlanta, Baltimore, Baton-Rouge, Birmingham, Charleston, Charlotte, Chicago, Clarksville-TN, Cleveland, Columbia, Dale-City-VA, Dallas, Dayton, Detroit, Fort-Worth, Greensboro, Greenville, Hammond-IN, Houston, Indianapolis, Jackson, Jacksonville, Killeen, Little-Rock, Louisville, Macon, Memphis, Milwaukee, Mobile, Nashville, New-Orleans, Norfolk, Oakland, Philadelphia, Pine-Bluff, Raleigh, Richmond, Rockford, Rome, Shreveport, South-Boston, St.-Louis, Tallahassee, Tracy-CA, Virginia-Beach, Washington-D.C., Wilmington, Youngstown",False,,,,8.0,,,,,,,2.0,,,,6.0,,3.0,,,,,7.0,,,,,,,,,,,,,,18.0,5.0,,12.0,,,1.0,3.0,,6.0,,,,,,20.0,17.0,,4.0,,6.0,,,,,,,,,,,,,,,19.0,,,,,,,,,1.0,11.0,1.0,,,,,16.0,,4.0,2.0,10.0,,,,,,3.0,,,,,,2.0,,13.0,,6.0,,,,,,2.0,,,,12.0,,,18.0,,16.0,,13.0,,,3.0,,,14.0,,,,,,,15.0,,2.0,,,,,,,,,,12.0,,,,6.0,,,16.0,20.0,,,,,,,,,,,,,,1.0,,9.0,,,,,6.0,,,,6.0,,,,,11.0,,,,,,8.0,,11.0,,15.0,,,6.0,
Can I Kick It?,A Tribe Called Quest,18.21,76,"Aberdeen-SD, Akron, Anaheim, Anchorage, Asheville, Austin, Barnstable, Bellingham, Bend, Bismarck, Boise, Boston, Brockton, Cape-Coral, Casper, Charleston, Chicago, Cincinnati, Clarksville-TN, Cleveland, Columbus, Concord-CA, Coventry-RI, Crystal-Lake, Dallas, Denver, Duluth, Fairbanks, Fayetteville-AR, Fort-Lauderdale, Freeport-FL, Grand-Junction, Grand-Rapids, Great-Falls, Green-Bay, Greenville, Hammond-IN, Joliet, Kansas-City, Keene-NH, Little-Rock, Madison, Manhattan, Mansfield-City, Milwaukee, Minneapolis, Missoula, Nashville, New-Haven, Oakland, Oklahoma-City, Pittsburgh, Pittsfield, Portland, Providence, Pueblo, Raleigh, Richmond, Rochester, Saint-Cloud, San-Diego, San-Francisco, Santa-Barbara, Sarasota, Seattle, Sioux-Falls, Springfield-IL, St.-Louis, Tacoma, Tallahassee, The-Woodlands-TX, Thousand-Oaks, Trenton, Virginia-Beach, Washington-D.C., Worcester",False,9.0,,,17.0,,,,14.0,18.0,17.0,,,12.0,,,19.0,,17.0,,14.0,,,17.0,13.0,15.0,,,6.0,,,,16.0,10.0,,,8.0,,,20.0,,14.0,18.0,17.0,,,18.0,18.0,,9.0,11.0,,18.0,,,12.0,,,,8.0,,,,,,,2.0,,,13.0,18.0,,19.0,,,,12.0,17.0,7.0,5.0,,20.0,15.0,,,,,,,,,,15.0,,15.0,11.0,,,,,,,,19.0,,,,,9.0,17.0,8.0,,,,,,,14.0,6.0,14.0,,,13.0,19.0,,,,,,,9.0,,19.0,,,,,,,,10.0,7.0,,,,11.0,19.0,,6.0,8.0,,,,16.0,,17.0,,,,18.0,,,,,14.0,16.0,,9.0,3.0,,14.0,,13.0,,,17.0,,,12.0,,,20.0,13.0,,19.0,12.0,,,16.0,,,,,18.0,,16.0,,,11.0,,,
Beggin',Måneskin,18.3,75,"Aberdeen-SD, Akron, Albany, Albuquerque, Allentown, Anaheim, Anchorage, Asheville, Aurora, Austin, Barnstable, Bellingham, Bend, Boise, Boston, Brentwood-NY, Cedar-Rapids, Chicago, Colorado-Springs, Coram-NY, Coventry-RI, Crystal-Lake, Davenport, Denver, Dumas, Elgin, Erie, Eugene, Fairbanks, Freeport-FL, Grand-Junction, Hartford, Idaho-Falls, Joliet, Keene-NH, Kennewick, Lewiston, Madison, Marquette, Mesa, Milford-DE, Missoula, New-Haven, Norwich, Oakland, Ogden, Omaha, Orlando, Phoenix, Pittsburgh, Pocatello, Port-Saint-Lucie, Portland, Providence, Pueblo, Rapid-City, Reading, Reno, Saint-Cloud, Salinas, Salt-Lake-City, San-Diego, Seattle, Spokane, Springfield-IL, Springfield-MO, Syracuse, Tacoma, Thousand-Oaks, Toms-River, Trenton, Tucson, Washington-D.C., Wichita, Worcester",False,7.0,,,11.0,19.0,15.0,18.0,12.0,13.0,11.0,,3.0,17.0,,,11.0,,7.0,,2.0,,,,18.0,13.0,17.0,,,,,,,,17.0,,,,,18.0,,,,,15.0,,,,20.0,3.0,16.0,,,20.0,,14.0,,,,,12.0,,8.0,5.0,9.0,,5.0,,,,,,17.0,,,,16.0,,,,,,,,18.0,,,,6.0,,,,18.0,,,9.0,20.0,,,,,,9.0,,,,,,14.0,,,19.0,,,18.0,,18.0,,,17.0,,,,18.0,,,,,,19.0,19.0,15.0,,11.0,,12.0,,,19.0,,14.0,,16.0,,20.0,9.0,14.0,,18.0,,8.0,18.0,19.0,,,,,,,9.0,,9.0,18.0,,15.0,,,,,,10.0,,,,13.0,11.0,,13.0,,,20.0,10.0,,,,14.0,9.0,,20.0,12.0,,,,,,19.0,20.0,,7.0,,,
